CHILD,SEX,DOB,ETHNIC,UPN,MOTHER,MC_DOB,LA,YEAR
268860,2,14/03/2004,AIND,A027155554562,,,Windsor and Maidenhead,2019
244990,1,13/02/2003,WIRT,M087637226848,,,West Sussex,2019
273253,2,02/07/2004,MOTH,O085403730562,,,Medway,2019
298562,2,23/11/2004,AOTH,M026501577691,,,Portsmouth,2019
256987,1,14/04/2006,BOTH,H045205946114,,,East Sussex,2019
277248,2,25/06/2006,MWAS,N069596098197,,,West Sussex,2019
251870,2,14/10/2006,CHNE,R023323343488,,,Milton Keynes,2019
250790,1,18/09/2005,APKN,E098552399245,,,Medway,2019
261436,1,27/01/2010,BOTH,A062910402475,,,West Sussex,2019
210229,1,11/08/2006,ABAN,M011512325434,,,Southampton,2019
218152,1,05/02/2004,MOTH,C068473161821,,,Southampton,2019
227218,2,24/04/2000,BOTH,W099044370084,,,Milton Keynes,2019
291553,2,15/02/2007,APKN,S006998081556,,,Reading,2019
210408,1,10/09/2008,BOTH,Z025106230059,,,Medway,2019
272912,1,20/08/2008,CHNE,V032354887598,,,West Berkshire,2019
292594,2,12/10/2009,AIND,I013412040571,,,Wokingham,2019
227985,2,04/07/2004,MOTH,U063825315615,,,East Sussex,2019
280202,2,28/08/2005,MWAS,Z031207531644,,,Bracknell Forest,2019
223902,2,07/05/2008,BOTH,Y068541604108,,,Windsor and Maidenhead,2019
258035,1,11/06/2006,AIND,M093025606679,,,Kent,2019
208152,1,27/02/2007,OOTH,H012046690875,,,Slough,2019
234728,1,02/07/2009,AOTH,F094484156839,,,East Sussex,2019
259693,1,03/05/2005,WOTH,S018186793779,,,Kent,2019
279163,2,14/12/2003,MWAS,C049902031084,,,Medway,2019
260378,1,07/09/2003,WIRI,Q022317971008,,,Medway,2019
234713,2,18/04/2006,MWAS,Q063066192779,,,Bracknell Forest,2019
239043,1,13/09/2003,CHNE,V020975877487,,,Kent,2019
234364,2,09/10/2001,NOBT,L059115697000,,,Milton Keynes,2019
231615,1,21/06/2009,WIRI,Y019599081732,,,Hampshire,2019
220946,1,04/11/2006,MOTH,G067935263285,,,Oxfordshire,2019
255305,2,19/12/2000,AIND,S098292446375,1,24/11/2017,Reading,2019
291595,1,25/08/2003,BAFR,C082166136565,,,Milton Keynes,2019
205879,2,09/10/2004,MOTH,L023561143703,,,Reading,2019
204759,2,20/10/2001,MWAS,H011078389011,,,Wokingham,2019
213498,1,16/12/2004,ABAN,J085545165858,,,Isle of Wight,2019
255403,2,14/09/2009,NOBT,P001611929636,,,Buckinghamshire,2019
340086,2,11/03/2010,APKN,C090961526417,,,Brighton and Hove,2019
344946,1,13/07/2007,WIRI,V090944226255,,,Surrey,2019
379877,1,15/10/2001,AIND,R032651954108,,,Oxfordshire,2019
353146,1,25/08/2002,OOTH,J009542684123,,,Milton Keynes,2019
393696,1,07/04/2005,WBRI,B042804782092,,,Reading,2019
352576,2,09/01/2007,WROM,E027253295247,,,Kent,2019
366895,2,15/01/2005,WIRT,L060515029445,,,Oxfordshire,2019
385148,2,23/03/2002,BOTH,H081604103612,,,Windsor and Maidenhead,2019
392829,1,29/06/2013,WIRI,H002522790877,,,Buckinghamshire,2019
398650,1,07/04/2001,MWAS,Z078238485088,,,Southampton,2019
383200,1,18/01/2002,BAFR,J055893018872,,,Brighton and Hove,2019
378865,1,24/10/2006,WOTH,C011670803051,,,West Berkshire,2019
341569,2,21/06/2010,AIND,Y063226902622,,,Milton Keynes,2019
355233,2,18/07/2007,MWBC,M019369410605,,,Medway,2019
384783,1,05/12/2001,WIRT,M086139950272,,,Brighton and Hove,2019
374846,1,21/03/2012,OOTH,K039757145025,,,Wokingham,2019
318549,2,14/01/2009,CHNE,C014808994822,,,Slough,2019
321009,1,06/03/2006,MWBA,I028145033710,,,West Berkshire,2019
314079,2,20/12/2004,NOBT,S047679263326,,,Isle of Wight,2019
333785,1,12/11/2011,MWBC,H086050771808,,,Milton Keynes,2019
385517,1,06/11/2009,BCRB,J099037215731,,,Oxfordshire,2019
357837,1,01/05/2001,WIRI,P028110182132,,,Reading,2019
371591,2,08/01/2006,OOTH,N005448880046,,,Buckinghamshire,2019
373208,1,08/02/2007,WROM,H082684202293,,,East Sussex,2019
384243,2,23/05/2010,WOTH,M035120091965,,,Reading,2019
359372,2,19/10/2011,WIRI,T070027781492,,,Milton Keynes,2019
312670,2,07/07/2002,REFU,K019324185000,,,Reading,2019
374716,2,30/07/2002,BCRB,W066686442421,,,Southampton,2019
363806,2,07/08/2010,MWBC,B033117380324,,,Windsor and Maidenhead,2019
306939,1,28/04/2002,MWBA,Z042031015856,,,Oxfordshire,2019
485960,1,07/08/2014,ABAN,V065276442875,,,Reading,2019
467501,2,21/12/2013,BOTH,A085351514483,,,Brighton and Hove,2019
403097,1,28/02/2011,NOBT,C045428908911,,,Milton Keynes,2019
479599,1,19/08/2008,CHNE,W067207163745,,,West Sussex,2019
416621,1,24/04/2004,MOTH,E049866688628,,,Reading,2019
474268,2,14/11/2005,MWBC,T025036542376,,,Buckinghamshire,2019
430152,1,02/05/2016,WIRT,S004779961755,,,Kent,2019
437946,2,26/04/2003,NOBT,Q016612351703,,,Oxfordshire,2019
469981,2,07/01/2007,WOTH,O012937941144,,,Milton Keynes,2019
417348,1,27/09/2008,ABAN,Q090395362130,,,Portsmouth,2019
479265,2,30/08/2006,CHNE,J058980489047,,,Hampshire,2019
469188,2,16/03/2007,AOTH,H051292604608,,,Southampton,2019
480668,2,09/06/2000,BOTH,P034428985065,,,Windsor and Maidenhead,2019
469867,1,20/06/2000,CHNE,C001185783496,,,West Berkshire,2019
461142,2,06/10/2005,NOBT,M031352955985,,,Reading,2019
468010,2,15/11/2003,WIRI,K093955535780,,,Portsmouth,2019
428388,1,07/11/2001,APKN,W042747936821,,,West Berkshire,2019
409712,1,17/01/2012,BCRB,S011908188204,,,Brighton and Hove,2019
463237,2,28/08/2001,BCRB,X067820477108,,,Reading,2019
400919,1,09/06/2007,REFU,A011612619045,,,East Sussex,2019
436671,1,06/08/2014,BCRB,A071705085512,,,Oxfordshire,2019
409756,2,21/10/2005,WOTH,L027622724219,,,Brighton and Hove,2019
499022,1,01/12/2017,BOTH,J045971569057,,,Windsor and Maidenhead,2019
410534,2,24/05/2011,AOTH,U083496946536,,,Reading,2019
488250,1,28/03/2005,BOTH,T052673051276,,,Slough,2019
430495,2,28/10/2017,MOTH,L086069376789,,,Southampton,2019
470582,1,15/11/2002,ABAN,J003985356725,,,Kent,2019
411358,1,02/01/2003,CHNE,B022334429460,,,Buckinghamshire,2019
457570,2,05/11/2013,MWBC,O079410060347,,,Oxfordshire,2019
477070,1,01/10/2016,AIND,N046653986220,,,West Berkshire,2019
483228,1,22/02/2018,NOBT,Q046015330708,,,Buckinghamshire,2019
693438,2,12/06/2017,AOTH,V042097994651,,,Buckinghamshire,2019
620217,2,26/09/2005,OOTH,W077615872525,,,West Sussex,2019
679664,2,31/10/2007,MWAS,Y055678603432,,,Portsmouth,2019
650900,2,23/12/2006,ABAN,T071187743884,,,Buckinghamshire,2019
651110,1,20/11/2005,AOTH,K075620258233,,,Bracknell Forest,2019
649369,1,16/04/2006,NOBT,N065871534822,,,Kent,2019
671994,2,16/06/2008,AIND,M029231050076,,,East Sussex,2019
688804,1,15/04/2005,REFU,P020152183831,,,Isle of Wight,2019
607698,2,24/02/2019,MOTH,I019522132715,,,Bracknell Forest,2019
670391,1,11/11/2009,WROM,N000293693707,,,Slough,2019
653784,1,23/11/2015,WBRI,E057907533065,,,Brighton and Hove,2019
647799,1,24/04/2012,MWBA,X026901661139,,,West Berkshire,2019
630733,1,05/03/2015,WBRI,D038218476830,,,West Sussex,2019
626872,1,17/05/2015,BCRB,N053847511049,,,Brighton and Hove,2019
64729,2,28/01/2002,AIND,G054107126353,,,East Sussex,2020
23421,1,04/07/2000,REFU,F011643503697,,,Oxfordshire,2020
10478,1,02/05/2001,WBRI,G076631549148,,,Kent,2020
109086,1,07/08/2005,BAFR,K017237182844,,,Portsmouth,2020
147118,2,10/01/2008,MWBC,E046700945281,,,Isle of Wight,2020
138786,1,14/06/2006,WOTH,U039851427772,,,Portsmouth,2020
152033,2,01/03/2008,MOTH,H036976757079,,,East Sussex,2020
144875,1,05/12/2003,WROM,R095735499619,,,Wokingham,2020
105259,1,31/08/2001,APKN,D058923587255,,,Brighton and Hove,2020
143787,2,30/03/2003,MWAS,S066095387334,,,Wokingham,2020
104428,2,12/04/2002,WROM,X041096058380,,,West Sussex,2020
164589,1,07/10/2003,NOBT,C008814646992,,,Isle of Wight,2020
139369,1,02/07/2003,REFU,K041010315383,,,Buckinghamshire,2020
131698,2,25/07/2005,WOTH,G074574822449,,,Isle of Wight,2020
105391,2,10/09/2002,WBRI,V024309738754,,,Brighton and Hove,2020
198991,1,17/11/2005,WIRI,V077006750993,,,Brighton and Hove,2020
289674,1,29/03/2009,APKN,Z024600141405,,,Windsor and Maidenhead,2020
237356,2,03/03/2010,WIRI,W050005112785,,,Surrey,2020
251428,1,14/08/2009,BAFR,H019441014371,,,Oxfordshire,2020
250575,2,18/08/2004,MWAS,K020637880752,,,Portsmouth,2020
249818,1,11/06/2007,WIRT,N094737842880,,,Brighton and Hove,2020
289406,2,20/03/2007,APKN,N097649201362,,,Wokingham,2020
209281,2,17/10/2009,WROM,O072650162174,,,Milton Keynes,2020
231572,1,03/08/2004,AIND,K045184533955,,,Isle of Wight,2020
211325,1,06/09/2008,WROM,J079795508594,,,Hampshire,2020
255360,1,08/10/2005,WOTH,Q015747027498,,,Kent,2020
225388,2,04/06/2005,BCRB,S040471333029,,,Southampton,2020
242645,1,15/05/2007,BOTH,L064662780431,,,Isle of Wight,2020
268503,1,25/03/2008,MWBC,Y081079540626,,,West Berkshire,2020
216713,2,12/07/2001,MWBC,L004252155162,,,Medway,2020
260816,2,14/02/2004,WIRI,P097596951545,,,East Sussex,2020
200186,2,13/10/2003,BAFR,I088606566444,,,Kent,2020
224093,2,21/03/2007,OOTH,Z049714740386,,,Wokingham,2020
291060,1,18/05/2005,AIND,A001725774372,,,Slough,2020
252648,1,30/11/2002,WROM,C043962594445,,,West Sussex,2020
270619,1,13/11/2003,AIND,S081010372178,,,East Sussex,2020
251644,1,15/09/2004,BAFR,P005671460760,,,East Sussex,2020
233343,1,17/08/2003,NOBT,O062464528360,,,Hampshire,2020
220012,2,26/10/2008,WOTH,R087452352976,,,West Sussex,2020
241779,2,14/10/2006,BAFR,T077033354604,,,Isle of Wight,2020
277781,1,31/01/2003,WBRI,C040539302886,,,Wokingham,2020
253690,2,13/06/2002,AIND,J076402784489,,,West Berkshire,2020
203921,1,30/04/2004,MWBA,T078552478355,,,Buckinghamshire,2020
201531,1,29/08/2001,APKN,Z024985334478,,,East Sussex,2020
222265,2,04/05/2003,APKN,K053336856841,,,Bracknell Forest,2020
296873,2,13/01/2010,MWBA,L034156316274,,,Wokingham,2020
206450,2,25/01/2010,ABAN,K039947652989,,,Oxfordshire,2020
390007,2,16/07/2011,MOTH,V075254238882,,,Southampton,2020
379078,1,11/08/2000,MWBC,X064734268639,,,Milton Keynes,2020
342788,1,15/08/2005,WOTH,O020106269999,,,Kent,2020
395217,1,13/11/2000,MWAS,E051658537818,,,Southampton,2020
397873,1,01/08/2002,WOTH,Q073823919855,,,Southampton,2020
357961,1,08/09/2006,REFU,V049897533237,,,Oxfordshire,2020
376021,2,19/06/2005,WOTH,P090226891365,,,Wokingham,2020
396433,2,22/03/2001,MOTH,P063158253385,,,Southampton,2020
396906,2,07/05/2009,BCRB,X097469035319,,,Southampton,2020
384975,2,21/12/2004,ABAN,E099231051551,,,Bracknell Forest,2020
375397,2,21/06/2004,MOTH,P081782307923,,,Southampton,2020
304932,1,22/03/2010,MWBA,N092629722424,,,Kent,2020
359776,1,17/11/2006,MOTH,K003813833643,,,Hampshire,2020
397354,1,04/07/2005,MWBA,O050486069571,,,Southampton,2020
363766,2,21/05/2009,BOTH,L082774079345,,,Portsmouth,2020
350090,1,09/11/2003,MWBA,T008099226692,,,Southampton,2020
335550,2,26/02/2007,CHNE,J076855447507,,,Portsmouth,2020
364025,2,11/02/2008,NOBT,U048325171819,,,Isle of Wight,2020
360471,1,17/11/2008,BCRB,M032937242754,,,Brighton and Hove,2020
363835,1,31/07/2003,BCRB,B016252588646,,,Milton Keynes,2020
318528,2,23/02/2001,ABAN,F037594299661,,,West Sussex,2020
375268,1,14/02/2012,MWAS,X071092763304,,,Bracknell Forest,2020
345899,1,19/02/2005,CHNE,Y009866443150,,,Oxfordshire,2020
324689,2,10/06/2010,WIRI,T050214357424,,,West Berkshire,2020
372520,2,07/06/2002,APKN,L004294484945,,,Southampton,2020
318283,2,09/04/2013,APKN,G059803067331,,,Slough,2020
313398,1,21/04/2009,WOTH,C093081687639,,,Milton Keynes,2020
351753,1,16/10/2001,BCRB,T027577998948,,,West Sussex,2020
334673,1,02/04/2012,WIRT,A046176971078,,,Buckinghamshire,2020
394659,1,30/01/2011,MWAS,W009344187417,,,Reading,2020
344264,2,06/11/2013,WIRI,I038281237575,,,Medway,2020
349135,2,15/05/2013,REFU,U071262752867,,,West Berkshire,2020
335950,2,28/07/2008,WROM,B082369501387,,,Brighton and Hove,2020
358292,2,24/11/2011,WBRI,W069707393347,,,West Berkshire,2020
383704,1,28/08/2006,BOTH,Q042596067534,,,Isle of Wight,2020
381786,2,10/03/2008,MWAS,Y001537716021,,,Portsmouth,2020
351789,1,14/11/2012,MWBA,C013832897758,,,Reading,2020
343409,2,24/10/2010,APKN,J090145053411,,,Buckinghamshire,2020
350538,2,28/11/2005,WIRI,F062062175565,,,Surrey,2020
374206,2,20/07/2012,ABAN,R039666427368,,,Milton Keynes,2020
304650,2,25/05/2003,BCRB,A081181546677,,,West Sussex,2020
313638,2,19/05/2009,REFU,Q002483996632,,,East Sussex,2020
347660,2,26/08/2011,MWAS,L067402880342,,,Milton Keynes,2020
348198,2,22/06/2012,REFU,H080067354389,,,Bracknell Forest,2020
459556,1,21/09/2015,NOBT,A068553716951,,,West Sussex,2020
405727,2,05/03/2009,BOTH,J074571180962,1,22/02/2023,West Berkshire,2020
425533,1,25/08/2015,WROM,U067730141944,,,Bracknell Forest,2020
447835,2,17/08/2010,MWBC,M053975201209,,,Portsmouth,2020
428511,2,03/01/2002,BOTH,F087403371004,,,Buckinghamshire,2020
434037,2,30/01/2004,MWBC,K023513532389,,,Slough,2020
444034,1,14/02/2004,AIND,X023558426892,,,Hampshire,2020
458088,2,03/10/2007,CHNE,M066099912118,,,East Sussex,2020
489165,2,22/07/2007,BCRB,D006712824302,,,Isle of Wight,2020
465256,2,15/06/2003,BCRB,O014694435870,,,Brighton and Hove,2020
484407,1,19/04/2014,APKN,L016846076270,,,Portsmouth,2020
427532,1,06/02/2017,NOBT,G062118922606,,,Oxfordshire,2020
429854,1,07/10/2004,OOTH,M014474889597,,,Bracknell Forest,2020
492481,2,08/03/2003,MWBC,Y085167843422,,,Surrey,2020
423816,1,20/07/2010,AIND,Y094972393933,,,West Berkshire,2020
464715,1,27/11/2002,MWBC,A047967311441,,,West Berkshire,2020
493008,1,11/03/2012,WIRI,O093587043601,,,Medway,2020
413570,1,09/01/2014,MWBA,S069145647821,,,Reading,2020
438578,1,27/01/2014,MWAS,X093419211260,,,Wokingham,2020
459091,1,02/01/2011,BAFR,V065603317766,,,Reading,2020
410242,1,13/03/2012,CHNE,Q003263591455,,,Buckinghamshire,2020
424467,2,17/02/2003,APKN,O081501926979,,,Reading,2020
406193,1,29/03/2005,WIRT,K055652210923,,,Surrey,2020
614927,2,09/09/2011,BAFR,D092932592068,,,Milton Keynes,2020
614506,2,10/05/2011,NOBT,N045919539190,,,Southampton,2020
668323,2,04/07/2006,BCRB,R073603864208,,,Hampshire,2020
667427,1,01/02/2023,MWAS,G081093614195,,,East Sussex,2020
633139,1,17/10/2011,MWBC,X010271528118,,,Bracknell Forest,2020
668856,1,27/09/2018,AIND,C074674105640,,,Portsmouth,2020
651362,2,05/11/2011,ABAN,X066891364919,,,Milton Keynes,2020
625234,2,19/11/2006,WIRI,P080259789617,,,Milton Keynes,2020
621002,2,23/12/2005,APKN,V084489012838,,,Windsor and Maidenhead,2020
626778,1,12/02/2019,MWBC,M008430152500,,,West Berkshire,2020
641517,2,10/04/2008,WIRI,I099361751237,,,Buckinghamshire,2020
684647,1,06/06/2009,MWBA,I076700852057,,,Medway,2020
666649,2,02/07/2011,MOTH,K044049608006,,,Buckinghamshire,2020
632876,2,09/06/2006,MOTH,O095915909534,,,Surrey,2020
625805,2,15/12/2006,AIND,D013911903904,,,Buckinghamshire,2020
43345,1,20/01/2002,WIRT,H029006005697,,,West Berkshire,2021
70814,2,04/02/2003,OOTH,N094529997910,,,West Sussex,2021
64156,1,09/03/2003,WROM,W062352927172,,,Isle of Wight,2021
77968,1,29/05/2001,NOBT,U049980728129,,,East Sussex,2021
188847,1,10/12/2007,AOTH,W017049905957,,,Buckinghamshire,2021
145063,1,18/07/2003,MWBA,Z085387034600,,,Medway,2021
171556,2,05/06/2006,MOTH,U066459016144,,,Medway,2021
168732,1,02/01/2002,MWAS,H015846177504,,,East Sussex,2021
102601,2,25/05/2003,MWBC,R055351235473,,,Isle of Wight,2021
122056,1,10/01/2008,OOTH,B072652482809,,,Southampton,2021
175695,2,14/10/2006,MWAS,E095090600612,,,Milton Keynes,2021
199053,1,30/12/2006,OOTH,O081790993448,,,Oxfordshire,2021
177206,2,10/03/2001,MOTH,G057829332901,,,Kent,2021
149532,2,10/11/2007,CHNE,O013485739584,,,Reading,2021
109278,1,20/08/2004,OOTH,U050804361127,,,Milton Keynes,2021
183980,2,22/05/2007,WIRI,Y024515368470,,,Southampton,2021
253585,1,04/08/2001,WBRI,J032909359715,,,Wokingham,2021
293726,2,20/05/2008,BCRB,K070717723814,,,Bracknell Forest,2021
212151,2,06/09/2006,AIND,Z098518749326,1,13/06/2020,West Berkshire,2021
257639,1,18/09/2003,MWBC,Q033667843277,,,Windsor and Maidenhead,2021
243052,2,16/06/2003,MWAS,Z090816483268,,,Hampshire,2021
215401,2,01/10/2007,MOTH,Q029122876871,,,Portsmouth,2021
233062,2,26/10/2000,BAFR,F072792585562,,,Windsor and Maidenhead,2021
250744,2,24/11/2002,WIRT,S036710551546,,,Wokingham,2021
290218,1,05/03/2005,BOTH,T020746365314,,,Wokingham,2021
276623,2,29/08/2008,NOBT,N056378493308,,,Bracknell Forest,2021
243284,2,23/02/2005,WIRT,G056077285075,,,Bracknell Forest,2021
229679,2,09/03/2006,OOTH,M058073627400,,,Wokingham,2021
225404,2,03/09/2009,MWAS,V006339592807,,,Reading,2021
223450,1,09/12/2002,WIRT,Z099029174291,,,Isle of Wight,2021
244564,1,11/07/2006,ABAN,K018238290920,,,Kent,2021
282266,1,18/04/2004,ABAN,L029612474501,,,West Berkshire,2021
239191,2,15/12/2000,MWBC,V071946428354,,,Medway,2021
264682,2,21/06/2006,AIND,L022272213976,,,Windsor and Maidenhead,2021
249886,1,05/06/2001,CHNE,T025344284619,,,Wokingham,2021
233476,2,14/02/2004,BCRB,J002024176057,,,Buckinghamshire,2021
262642,2,05/04/2003,WOTH,U098574578550,,,Oxfordshire,2021
284896,1,18/06/2002,BAFR,G009086731721,,,Kent,2021
211862,1,21/09/2005,MOTH,J000423630689,,,Wokingham,2021
271022,2,12/10/2009,REFU,H087146750306,,,Slough,2021
207095,2,26/07/2000,AOTH,V047411011627,,,Brighton and Hove,2021
206336,1,07/08/2000,WOTH,L005385589642,,,East Sussex,2021
241953,1,14/06/2009,BAFR,J082207411557,,,West Berkshire,2021
294336,2,05/12/2005,CHNE,R074404405361,,,Bracknell Forest,2021
207224,2,29/08/2001,BCRB,T064723068059,,,Wokingham,2021
254233,1,16/12/2000,ABAN,A031581044167,,,West Sussex,2021
252590,2,05/09/2001,APKN,S090882615734,,,Southampton,2021
261689,1,05/02/2003,ABAN,J022647171257,,,Oxfordshire,2021
218534,2,23/09/2004,APKN,U068966004039,,,Isle of Wight,2021
267167,1,17/04/2009,CHNE,Z037250878628,,,Brighton and Hove,2021
203070,2,07/10/2003,AOTH,L012860383920,,,Brighton and Hove,2021
208378,2,20/07/2007,BAFR,F059372904763,,,Wokingham,2021
259040,2,17/03/2001,NOBT,E004610031364,,,Southampton,2021
219727,1,24/02/2008,CHNE,N036591742470,,,Southampton,2021
227227,2,14/03/2010,NOBT,K085914775157,,,Oxfordshire,2021
221074,1,02/08/2009,WIRT,H077600712391,,,Isle of Wight,2021
294254,1,27/06/2004,WROM,I085054865485,,,Wokingham,2021
376541,1,12/06/2011,BOTH,O008148081537,,,Medway,2021
335915,1,05/09/2008,WIRI,R027934715422,,,Isle of Wight,2021
351769,1,24/08/2006,REFU,N008630956147,,,West Berkshire,2021
388694,2,19/01/2003,AOTH,X039224386359,,,Oxfordshire,2021
376091,2,03/01/2009,BAFR,E056761573361,,,Brighton and Hove,2021
373176,2,02/02/2013,WOTH,R026381442953,,,East Sussex,2021
362949,1,24/12/2008,CHNE,A072619825272,,,Kent,2021
358020,2,22/06/2003,REFU,W023688134778,,,Hampshire,2021
393175,1,07/12/2007,APKN,O034007834472,,,Buckinghamshire,2021
372161,2,04/04/2006,BCRB,X003433664949,,,Bracknell Forest,2021
390410,2,04/05/2012,BAFR,Y059943562282,,,East Sussex,2021
327455,2,04/12/2012,WOTH,G039619647221,,,Windsor and Maidenhead,2021
362474,1,02/10/2003,MOTH,S031884395896,,,Medway,2021
317973,2,05/02/2013,OOTH,E006081381974,,,Slough,2021
382009,2,03/04/2008,MWBA,R054132900079,,,Buckinghamshire,2021
359774,2,15/02/2014,MWBC,T004649312935,,,Wokingham,2021
369667,2,24/02/2011,MWAS,T046569063783,,,Kent,2021
356935,2,20/09/2006,MOTH,V088148572590,,,West Sussex,2021
388551,1,14/11/2013,CHNE,X096669277473,,,Medway,2021
319369,2,22/03/2014,NOBT,C031364318044,,,Portsmouth,2021
321886,2,27/05/2003,WBRI,W038627705026,,,Isle of Wight,2021
305491,1,11/07/2010,ABAN,B046135352900,,,Buckinghamshire,2021
337079,1,19/02/2012,BAFR,Y049658530251,,,Medway,2021
318330,1,02/08/2002,ABAN,P023624867856,,,Hampshire,2021
347428,2,08/03/2013,MWBC,C033900006986,,,Medway,2021
397049,1,21/03/2012,AIND,Y052902165759,,,Slough,2021
327800,1,28/09/2007,BOTH,J047718240106,,,Medway,2021
392955,2,13/05/2008,MWBC,W016693886106,,,Wokingham,2021
371718,1,07/12/2004,WIRT,L062992346497,,,Oxfordshire,2021
385827,2,17/09/2003,WIRI,B032048814243,,,Hampshire,2021
337119,1,14/02/2007,APKN,U051343716975,,,Medway,2021
313376,2,09/03/2004,CHNE,F013400357890,,,East Sussex,2021
326789,1,23/09/2009,WIRI,O074918086058,,,West Berkshire,2021
385332,1,05/12/2004,WOTH,H071781555668,,,East Sussex,2021
372691,1,26/03/2003,MWBA,I061691818856,,,Kent,2021
309543,1,10/01/2010,WBRI,I054314781468,,,Brighton and Hove,2021
368893,1,18/12/2013,BAFR,P020191089919,,,Brighton and Hove,2021
384292,2,22/08/2005,WIRI,T011784050088,,,Oxfordshire,2021
336746,2,24/06/2009,BCRB,J086104572752,,,Buckinghamshire,2021
327802,1,23/05/2005,BOTH,L044968500657,,,Brighton and Hove,2021
382956,1,22/10/2001,APKN,O013213414453,,,Surrey,2021
384668,2,25/03/2014,AOTH,G092494948744,,,East Sussex,2021
390175,1,05/10/2009,REFU,M036279825903,,,Wokingham,2021
326691,1,24/02/2002,MWAS,C062193675651,,,Surrey,2021
327571,1,27/11/2006,NOBT,K090158148825,,,West Sussex,2021
340083,2,26/02/2014,WBRI,T060844256654,,,Oxfordshire,2021
319150,2,14/11/2002,WOTH,Z095896991769,,,Reading,2021
383907,1,11/01/2011,MWBC,I076205016424,,,Portsmouth,2021
470790,1,23/11/2004,MOTH,T028663447470,,,Portsmouth,2021
476295,1,28/11/2012,AOTH,B051106908941,,,Buckinghamshire,2021
409125,1,15/10/2002,BAFR,I059643346879,,,Southampton,2021
400350,1,20/12/2007,CHNE,J025343896000,,,Kent,2021
438661,1,12/11/2016,WBRI,B026637999167,,,Milton Keynes,2021
495763,1,04/08/2009,BCRB,H096633485125,,,Kent,2021
480108,2,11/11/2003,BCRB,S070874039258,,,Oxfordshire,2021
495762,2,01/08/2013,MOTH,R051580712203,,,Portsmouth,2021
410836,2,03/10/2001,REFU,Z024737703418,,,Bracknell Forest,2021
410829,2,05/11/2003,WIRT,C051939615512,,,Wokingham,2021
493710,1,06/05/2005,WBRI,F087053533771,,,Surrey,2021
441136,2,28/05/2005,NOBT,N028546439233,,,Milton Keynes,2021
416759,2,11/09/2004,MOTH,A028360600015,,,Oxfordshire,2021
417371,2,04/05/2008,AOTH,E079397815833,,,Windsor and Maidenhead,2021
435688,2,05/03/2012,APKN,Q025748830780,,,Oxfordshire,2021
413111,1,16/12/2016,BAFR,X065186588671,,,Kent,2021
488720,2,21/03/2001,MWBA,U003803988045,,,West Sussex,2021
417193,1,09/06/2002,WBRI,D053296668562,,,Kent,2021
493643,2,06/09/2001,MWBC,Z080571137420,,,Isle of Wight,2021
472204,1,18/06/2005,MOTH,M025902769717,,,Milton Keynes,2021
446156,2,30/10/2008,AOTH,Q006053924510,,,Milton Keynes,2021
