CHILD,SEX,DOB,DUC,LA,YEAR
250575,2,18/08/2004,14/08/2022,Portsmouth,2020
238182,2,21/03/2006,16/03/2024,Surrey,2023
259611,1,06/09/2007,01/09/2025,Surrey,2022
233062,2,26/10/2000,22/10/2018,Windsor and Maidenhead,2021
249818,1,11/06/2007,06/06/2025,Brighton and Hove,2020
260919,2,21/12/2007,16/12/2025,Buckinghamshire,2023
250744,2,24/11/2002,19/11/2020,Wokingham,2021
268860,2,14/03/2004,10/03/2022,Windsor and Maidenhead,2019
290218,1,05/03/2005,01/03/2023,Wokingham,2021
244990,1,13/02/2003,08/02/2021,West Sussex,2019
232399,2,04/08/2000,31/07/2018,Buckinghamshire,2024
289406,2,20/03/2007,15/03/2025,Wokingham,2020
289131,2,18/01/2004,13/01/2022,Bracknell Forest,2022
276623,2,29/08/2008,25/08/2026,Bracknell Forest,2021
209281,2,17/10/2009,13/10/2027,Milton Keynes,2020
240046,1,25/11/2007,20/11/2025,Surrey,2022
297104,2,09/06/2003,04/06/2021,Isle of Wight,2024
243284,2,23/02/2005,19/02/2023,Bracknell Forest,2021
282493,2,30/04/2003,25/04/2021,Isle of Wight,2022
229679,2,09/03/2006,04/03/2024,Wokingham,2021
273253,2,02/07/2004,28/06/2022,Medway,2019
296316,1,15/10/2003,10/10/2021,Isle of Wight,2023
225404,2,03/09/2009,30/08/2027,Reading,2021
243904,2,26/09/2001,22/09/2019,Bracknell Forest,2024
223450,1,09/12/2002,04/12/2020,Isle of Wight,2021
259130,2,13/12/2001,09/12/2019,Surrey,2024
286590,2,25/10/2007,20/10/2025,West Berkshire,2022
298204,1,05/07/2005,01/07/2023,West Berkshire,2023
251062,1,01/04/2009,28/03/2027,Milton Keynes,2022
244564,1,11/07/2006,06/07/2024,Kent,2021
282266,1,18/04/2004,14/04/2022,West Berkshire,2021
298562,2,23/11/2004,19/11/2022,Portsmouth,2019
239191,2,15/12/2000,11/12/2018,Medway,2021
201957,2,25/11/2004,21/11/2022,Isle of Wight,2022
256987,1,14/04/2006,09/04/2024,East Sussex,2019
264682,2,21/06/2006,16/06/2024,Windsor and Maidenhead,2021
249886,1,05/06/2001,01/06/2019,Wokingham,2021
259746,1,11/11/2007,06/11/2025,Wokingham,2022
233476,2,14/02/2004,09/02/2022,Buckinghamshire,2021
262642,2,05/04/2003,31/03/2021,Oxfordshire,2021
259050,1,21/01/2001,17/01/2019,Portsmouth,2022
231572,1,03/08/2004,30/07/2022,Isle of Wight,2020
277248,2,25/06/2006,20/06/2024,West Sussex,2019
211325,1,06/09/2008,02/09/2026,Hampshire,2020
224097,1,19/10/2008,15/10/2026,Isle of Wight,2022
255360,1,08/10/2005,04/10/2023,Kent,2020
284896,1,18/06/2002,13/06/2020,Kent,2021
251870,2,14/10/2006,09/10/2024,Milton Keynes,2019
211862,1,21/09/2005,17/09/2023,Wokingham,2021
271022,2,12/10/2009,08/10/2027,Slough,2021
225388,2,04/06/2005,31/05/2023,Southampton,2020
242645,1,15/05/2007,10/05/2025,Isle of Wight,2020
281455,1,08/12/2004,04/12/2022,Medway,2023
250790,1,18/09/2005,14/09/2023,Medway,2019
268503,1,25/03/2008,21/03/2026,West Berkshire,2020
216713,2,12/07/2001,08/07/2019,Medway,2020
285476,1,18/11/2004,14/11/2022,Milton Keynes,2022
217144,1,05/07/2004,01/07/2022,Milton Keynes,2022
205404,1,26/12/2004,22/12/2022,Brighton and Hove,2024
260816,2,14/02/2004,09/02/2022,East Sussex,2020
200112,2,01/04/2002,27/03/2020,Wokingham,2022
277621,2,12/06/2003,07/06/2021,West Berkshire,2023
264984,1,04/08/2001,31/07/2019,Buckinghamshire,2024
261436,1,27/01/2010,23/01/2028,West Sussex,2019
210229,1,11/08/2006,06/08/2024,Southampton,2019
254072,2,06/12/2004,02/12/2022,Oxfordshire,2023
200186,2,13/10/2003,08/10/2021,Kent,2020
280822,1,10/09/2002,05/09/2020,Windsor and Maidenhead,2022
207095,2,26/07/2000,22/07/2018,Brighton and Hove,2021
218152,1,05/02/2004,31/01/2022,Southampton,2019
206336,1,07/08/2000,03/08/2018,East Sussex,2021
224093,2,21/03/2007,16/03/2025,Wokingham,2020
284704,2,04/01/2009,31/12/2026,Brighton and Hove,2022
291060,1,18/05/2005,14/05/2023,Slough,2020
284277,1,07/02/2003,02/02/2021,Kent,2024
220892,2,17/04/2006,12/04/2024,Milton Keynes,2024
271317,1,16/06/2001,12/06/2019,Surrey,2023
227218,2,24/04/2000,20/04/2018,Milton Keynes,2019
235113,2,29/01/2006,25/01/2024,Kent,2024
252648,1,30/11/2002,25/11/2020,West Sussex,2020
210766,1,17/01/2006,13/01/2024,Reading,2024
225385,1,30/07/2004,26/07/2022,Slough,2024
270619,1,13/11/2003,08/11/2021,East Sussex,2020
201894,2,26/07/2002,21/07/2020,Medway,2022
291553,2,15/02/2007,10/02/2025,Reading,2019
241953,1,14/06/2009,10/06/2027,West Berkshire,2021
254686,1,28/12/2006,23/12/2024,Brighton and Hove,2024
208863,2,09/05/2008,05/05/2026,Portsmouth,2023
210408,1,10/09/2008,06/09/2026,Medway,2019
241977,1,06/04/2009,02/04/2027,Bracknell Forest,2022
262865,2,10/07/2007,05/07/2025,Brighton and Hove,2022
272912,1,20/08/2008,16/08/2026,West Berkshire,2019
249564,2,04/02/2006,31/01/2024,Windsor and Maidenhead,2022
292594,2,12/10/2009,08/10/2027,Wokingham,2019
275377,1,09/01/2007,04/01/2025,Buckinghamshire,2024
229127,2,01/07/2008,27/06/2026,Slough,2024
227985,2,04/07/2004,30/06/2022,East Sussex,2019
280202,2,28/08/2005,24/08/2023,Bracknell Forest,2019
251644,1,15/09/2004,11/09/2022,East Sussex,2020
229510,1,15/09/2004,11/09/2022,West Sussex,2023
269217,1,14/04/2008,10/04/2026,Medway,2023
260256,1,09/06/2007,04/06/2025,Medway,2023
233343,1,17/08/2003,12/08/2021,Hampshire,2020
223902,2,07/05/2008,03/05/2026,Windsor and Maidenhead,2019
294336,2,05/12/2005,01/12/2023,Bracknell Forest,2021
257760,1,23/12/2001,19/12/2019,Surrey,2024
207224,2,29/08/2001,25/08/2019,Wokingham,2021
254233,1,16/12/2000,12/12/2018,West Sussex,2021
291709,1,10/06/2002,05/06/2020,West Sussex,2023
202924,1,26/02/2002,22/02/2020,Windsor and Maidenhead,2023
252590,2,05/09/2001,01/09/2019,Southampton,2021
241606,1,17/08/2003,12/08/2021,Southampton,2023
273486,1,19/05/2006,14/05/2024,Kent,2022
204736,2,24/07/2000,20/07/2018,Southampton,2023
274473,1,15/05/2008,11/05/2026,Southampton,2022
258035,1,11/06/2006,06/06/2024,Kent,2019
220012,2,26/10/2008,22/10/2026,West Sussex,2020
201575,2,11/05/2004,07/05/2022,Kent,2023
238488,2,26/04/2008,22/04/2026,West Berkshire,2024
268271,2,10/04/2008,06/04/2026,East Sussex,2024
269203,2,05/05/2008,01/05/2026,Southampton,2022
244263,1,20/05/2008,16/05/2026,Reading,2022
208152,1,27/02/2007,22/02/2025,Slough,2019
242661,2,26/09/2005,22/09/2023,Surrey,2023
234728,1,02/07/2009,28/06/2027,East Sussex,2019
261689,1,05/02/2003,31/01/2021,Oxfordshire,2021
241779,2,14/10/2006,09/10/2024,Isle of Wight,2020
288382,2,16/05/2000,12/05/2018,Reading,2022
218534,2,23/09/2004,19/09/2022,Isle of Wight,2021
259693,1,03/05/2005,29/04/2023,Kent,2019
279163,2,14/12/2003,09/12/2021,Medway,2019
267167,1,17/04/2009,13/04/2027,Brighton and Hove,2021
260378,1,07/09/2003,02/09/2021,Medway,2019
281163,1,21/05/2008,17/05/2026,Slough,2023
234713,2,18/04/2006,13/04/2024,Bracknell Forest,2019
268101,2,20/08/2005,16/08/2023,Oxfordshire,2022
200694,1,21/12/2008,17/12/2026,Windsor and Maidenhead,2022
270805,2,18/07/2009,14/07/2027,Kent,2022
258116,1,09/06/2000,05/06/2018,Portsmouth,2024
284827,1,24/01/2003,19/01/2021,West Berkshire,2023
203070,2,07/10/2003,02/10/2021,Brighton and Hove,2021
277781,1,31/01/2003,26/01/2021,Wokingham,2020
239043,1,13/09/2003,08/09/2021,Kent,2019
206304,1,24/01/2004,19/01/2022,West Berkshire,2024
255880,1,27/07/2004,23/07/2022,Hampshire,2023
228072,2,03/05/2005,29/04/2023,Slough,2023
208378,2,20/07/2007,15/07/2025,Wokingham,2021
200125,1,06/02/2010,02/02/2028,Surrey,2023
253690,2,13/06/2002,08/06/2020,West Berkshire,2020
271376,2,21/07/2004,17/07/2022,Kent,2022
218056,1,20/02/2008,15/02/2026,West Berkshire,2023
234364,2,09/10/2001,05/10/2019,Milton Keynes,2019
203921,1,30/04/2004,26/04/2022,Buckinghamshire,2020
231615,1,21/06/2009,17/06/2027,Hampshire,2019
220946,1,04/11/2006,30/10/2024,Oxfordshire,2019
237366,2,06/07/2003,01/07/2021,Hampshire,2024
259040,2,17/03/2001,13/03/2019,Southampton,2021
255305,2,19/12/2000,15/12/2018,Reading,2019
232402,1,28/01/2003,23/01/2021,Buckinghamshire,2023
245176,1,19/12/2002,14/12/2020,Isle of Wight,2024
256217,2,12/03/2004,08/03/2022,Windsor and Maidenhead,2024
291595,1,25/08/2003,20/08/2021,Milton Keynes,2019
201531,1,29/08/2001,25/08/2019,East Sussex,2020
219727,1,24/02/2008,19/02/2026,Southampton,2021
205879,2,09/10/2004,05/10/2022,Reading,2019
230081,2,17/01/2009,13/01/2027,Buckinghamshire,2024
201890,2,13/08/2002,08/08/2020,West Sussex,2023
204759,2,20/10/2001,16/10/2019,Wokingham,2019
213498,1,16/12/2004,12/12/2022,Isle of Wight,2019
222265,2,04/05/2003,29/04/2021,Bracknell Forest,2020
296873,2,13/01/2010,09/01/2028,Wokingham,2020
255403,2,14/09/2009,10/09/2027,Buckinghamshire,2019
238759,2,08/10/2002,03/10/2020,Oxfordshire,2022
294861,1,08/11/2009,04/11/2027,Medway,2022
227227,2,14/03/2010,09/03/2028,Oxfordshire,2021
257900,2,25/12/2009,21/12/2027,Medway,2022
206450,2,25/01/2010,21/01/2028,Oxfordshire,2020
252625,2,29/03/2009,25/03/2027,West Berkshire,2022
282330,1,28/09/2007,23/09/2025,Surrey,2023
288263,1,05/02/2008,31/01/2026,Slough,2024
228421,2,05/08/2000,01/08/2018,Oxfordshire,2024
221074,1,02/08/2009,29/07/2027,Isle of Wight,2021
257086,1,31/12/2003,26/12/2021,Isle of Wight,2022
294254,1,27/06/2004,23/06/2022,Wokingham,2021
201989,1,27/10/2009,23/10/2027,Buckinghamshire,2024
367700,2,20/12/2012,16/12/2030,Slough,2023
302971,2,12/02/2007,07/02/2025,West Berkshire,2024
389817,1,03/12/2000,29/11/2018,Portsmouth,2024
390007,2,16/07/2011,11/07/2029,Southampton,2020
365153,2,08/02/2005,04/02/2023,Brighton and Hove,2023
340086,2,11/03/2010,06/03/2028,Brighton and Hove,2019
376541,1,12/06/2011,07/06/2029,Medway,2021
344946,1,13/07/2007,08/07/2025,Surrey,2019
398854,1,16/07/2002,11/07/2020,Kent,2023
335915,1,05/09/2008,01/09/2026,Isle of Wight,2021
342275,2,24/12/2010,19/12/2028,Isle of Wight,2023
379078,1,11/08/2000,07/08/2018,Milton Keynes,2020
379877,1,15/10/2001,11/10/2019,Oxfordshire,2019
351769,1,24/08/2006,19/08/2024,West Berkshire,2021
355028,1,29/01/2009,25/01/2027,Slough,2022
388694,2,19/01/2003,14/01/2021,Oxfordshire,2021
353146,1,25/08/2002,20/08/2020,Milton Keynes,2019
302869,2,24/01/2010,20/01/2028,Windsor and Maidenhead,2024
397555,1,03/12/2002,28/11/2020,Windsor and Maidenhead,2022
393460,2,09/04/2007,04/04/2025,Hampshire,2023
326771,2,06/08/2010,01/08/2028,Kent,2022
376091,2,03/01/2009,30/12/2026,Brighton and Hove,2021
373176,2,02/02/2013,29/01/2031,East Sussex,2021
342788,1,15/08/2005,11/08/2023,Kent,2020
362949,1,24/12/2008,20/12/2026,Kent,2021
310155,1,12/10/2011,07/10/2029,Reading,2023
395217,1,13/11/2000,09/11/2018,Southampton,2020
358105,2,04/07/2005,30/06/2023,Portsmouth,2024
397873,1,01/08/2002,27/07/2020,Southampton,2020
327203,2,01/04/2004,28/03/2022,Brighton and Hove,2023
383369,2,18/10/2010,13/10/2028,Slough,2023
392041,2,12/01/2004,07/01/2022,East Sussex,2022
393696,1,07/04/2005,03/04/2023,Reading,2019
352576,2,09/01/2007,04/01/2025,Kent,2019
357961,1,08/09/2006,03/09/2024,Oxfordshire,2020
366895,2,15/01/2005,11/01/2023,Oxfordshire,2019
309604,1,23/08/2011,18/08/2029,Reading,2022
352787,1,16/07/2007,11/07/2025,Hampshire,2024
337058,1,30/05/2007,25/05/2025,Wokingham,2022
376021,2,19/06/2005,15/06/2023,Wokingham,2020
358020,2,22/06/2003,17/06/2021,Hampshire,2021
385148,2,23/03/2002,18/03/2020,Windsor and Maidenhead,2019
309987,1,27/04/2005,23/04/2023,Bracknell Forest,2024
312078,1,13/03/2008,09/03/2026,Milton Keynes,2024
311392,2,08/09/2013,04/09/2031,Southampton,2024
339954,1,05/06/2003,31/05/2021,Wokingham,2023
337984,2,13/02/2001,09/02/2019,Medway,2022
393175,1,07/12/2007,02/12/2025,Buckinghamshire,2021
396433,2,22/03/2001,18/03/2019,Southampton,2020
396906,2,07/05/2009,03/05/2027,Southampton,2020
386836,1,03/07/2002,28/06/2020,Milton Keynes,2024
392829,1,29/06/2013,25/06/2031,Buckinghamshire,2019
362374,2,24/11/2002,19/11/2020,Buckinghamshire,2023
317811,1,06/05/2002,01/05/2020,Oxfordshire,2024
398650,1,07/04/2001,03/04/2019,Southampton,2019
355511,2,26/10/2004,22/10/2022,Brighton and Hove,2022
383200,1,18/01/2002,14/01/2020,Brighton and Hove,2019
384975,2,21/12/2004,17/12/2022,Bracknell Forest,2020
343825,1,06/06/2005,02/06/2023,Isle of Wight,2023
375397,2,21/06/2004,17/06/2022,Southampton,2020
304932,1,22/03/2010,17/03/2028,Kent,2020
362441,1,31/08/2013,27/08/2031,West Berkshire,2022
378865,1,24/10/2006,19/10/2024,West Berkshire,2019
342676,2,02/06/2006,28/05/2024,Oxfordshire,2022
311393,1,17/07/2007,12/07/2025,West Berkshire,2023
372161,2,04/04/2006,30/03/2024,Bracknell Forest,2021
355542,2,25/10/2006,20/10/2024,Surrey,2023
341569,2,21/06/2010,16/06/2028,Milton Keynes,2019
382008,2,30/11/2009,26/11/2027,Medway,2023
350576,1,08/06/2005,04/06/2023,Bracknell Forest,2022
355233,2,18/07/2007,13/07/2025,Medway,2019
359776,1,17/11/2006,12/11/2024,Hampshire,2020
397354,1,04/07/2005,30/06/2023,Southampton,2020
384783,1,05/12/2001,01/12/2019,Brighton and Hove,2019
312889,1,12/01/2005,08/01/2023,Bracknell Forest,2023
374846,1,21/03/2012,17/03/2030,Wokingham,2019
318549,2,14/01/2009,10/01/2027,Slough,2019
365103,1,09/07/2007,04/07/2025,Isle of Wight,2023
362251,2,08/09/2004,04/09/2022,Windsor and Maidenhead,2022
332332,2,14/05/2012,10/05/2030,Isle of Wight,2024
390410,2,04/05/2012,30/04/2030,East Sussex,2021
317520,2,26/03/2001,22/03/2019,Isle of Wight,2023
307440,2,22/02/2009,18/02/2027,West Berkshire,2024
353369,1,19/08/2006,14/08/2024,Windsor and Maidenhead,2022
360155,1,05/03/2011,28/02/2029,Hampshire,2022
363766,2,21/05/2009,17/05/2027,Portsmouth,2020
398891,1,15/08/2003,10/08/2021,East Sussex,2023
322560,2,25/02/2002,21/02/2020,Hampshire,2024
327455,2,04/12/2012,30/11/2030,Windsor and Maidenhead,2021
326146,2,10/10/2012,06/10/2030,Bracknell Forest,2022
362474,1,02/10/2003,27/09/2021,Medway,2021
317973,2,05/02/2013,01/02/2031,Slough,2021
355364,1,10/12/2012,06/12/2030,Milton Keynes,2023
321009,1,06/03/2006,01/03/2024,West Berkshire,2019
353254,2,25/03/2010,20/03/2028,West Sussex,2023
313972,2,23/04/2002,18/04/2020,Reading,2024
382009,2,03/04/2008,30/03/2026,Buckinghamshire,2021
322180,1,14/03/2011,09/03/2029,Isle of Wight,2023
323335,1,22/12/2004,18/12/2022,Medway,2023
370185,2,15/05/2012,11/05/2030,Surrey,2024
359774,2,15/02/2014,11/02/2032,Wokingham,2021
350090,1,09/11/2003,04/11/2021,Southampton,2020
335550,2,26/02/2007,21/02/2025,Portsmouth,2020
369667,2,24/02/2011,19/02/2029,Kent,2021
360465,2,19/11/2012,15/11/2030,Milton Keynes,2023
314079,2,20/12/2004,16/12/2022,Isle of Wight,2019
364025,2,11/02/2008,06/02/2026,Isle of Wight,2020
360471,1,17/11/2008,13/11/2026,Brighton and Hove,2020
331998,2,19/11/2002,14/11/2020,Medway,2024
376324,1,17/11/2007,12/11/2025,East Sussex,2023
356935,2,20/09/2006,15/09/2024,West Sussex,2021
359431,1,24/06/2006,19/06/2024,Isle of Wight,2024
388551,1,14/11/2013,10/11/2031,Medway,2021
319369,2,22/03/2014,17/03/2032,Portsmouth,2021
363835,1,31/07/2003,26/07/2021,Milton Keynes,2020
379756,2,07/12/2013,03/12/2031,Medway,2022
396762,1,30/09/2001,26/09/2019,Kent,2023
354531,1,15/02/2007,10/02/2025,Hampshire,2022
356470,2,13/02/2004,08/02/2022,Windsor and Maidenhead,2024
321886,2,27/05/2003,22/05/2021,Isle of Wight,2021
396560,2,18/02/2005,14/02/2023,Medway,2023
375039,2,11/07/2002,06/07/2020,West Sussex,2024
333785,1,12/11/2011,07/11/2029,Milton Keynes,2019
318528,2,23/02/2001,19/02/2019,West Sussex,2020
311082,2,24/07/2010,19/07/2028,Isle of Wight,2024
306475,2,28/02/2005,24/02/2023,Slough,2022
305491,1,11/07/2010,06/07/2028,Buckinghamshire,2021
385517,1,06/11/2009,02/11/2027,Oxfordshire,2019
375268,1,14/02/2012,09/02/2030,Bracknell Forest,2020
390027,1,13/09/2009,09/09/2027,Medway,2024
345899,1,19/02/2005,15/02/2023,Oxfordshire,2020
306610,1,27/11/2009,23/11/2027,Portsmouth,2022
324689,2,10/06/2010,05/06/2028,West Berkshire,2020
326178,1,18/11/2004,14/11/2022,Bracknell Forest,2022
337079,1,19/02/2012,14/02/2030,Medway,2021
372520,2,07/06/2002,02/06/2020,Southampton,2020
