CHILD,SEX,DOB,ETHNIC,UPN,MOTHER,MC_DOB,LA,YEAR
204635,2,19/09/2007,WBRI,G062312119458,,,Southwark,2018
604939,2,25/01/2005,BCRB,J094995647415,,,Hillingdon,2017
96146,1,28/01/2009,REFU,M077031628515,,,Southwark,2020
294712,2,19/12/2009,WIRI,V065638224431,,,Bromley,2020
472738,1,09/10/2005,OOTH,M025668792766,,,Hillingdon,2021
993726,2,18/02/2001,ABAN,M028925757624,,,Southwark,2021
753062,2,24/06/2008,MWAS,L079632235794,,,Bromley,2020
562913,1,21/01/2002,WOTH,X072942545850,,,Southwark,2021
862146,2,02/08/2006,APKN,T040866019829,,,Southwark,2021
2351,1,19/07/2003,NOBT,H073568167382,,,Bromley,2018
682527,1,22/04/2008,MWAS,X052722440351,,,Southwark,2018
404747,2,29/12/2005,WOTH,M083923061390,,,Southwark,2018
923340,1,01/07/2000,MWAS,A069379035262,,,Bromley,2018
280577,1,21/11/2007,WBRI,A088291693314,,,Southwark,2021
274248,2,12/06/2005,AIND,W096544617608,,,Hillingdon,2021
303075,1,13/11/2006,ABAN,P098055642543,,,Southwark,2021
340899,1,10/05/2001,WIRT,H063323829962,,,Hillingdon,2017
937777,2,13/09/2005,ABAN,N007572513278,,,Southwark,2017
442009,2,17/02/2004,NOBT,B000162331256,,,Hillingdon,2021
557029,2,04/01/2007,AIND,T099634773040,,,Hillingdon,2019
479556,1,15/04/2006,MWBA,A054171871308,,,Southwark,2019
956819,1,15/11/2002,REFU,R003625207297,,,Hillingdon,2019
673109,1,06/10/2000,WOTH,Q032699198676,,,Hillingdon,2018
506970,1,18/12/2009,BAFR,E076150921231,,,Bromley,2020
745426,2,03/10/2007,APKN,Q051556941170,,,Southwark,2018
787415,1,12/04/2004,MWBC,C053014138768,,,Southwark,2017
230147,2,15/06/2005,BAFR,E096082708682,,,Southwark,2020
462241,1,09/07/2003,NOBT,O059307399715,,,Bromley,2020
213931,2,21/06/2002,BCRB,N011095490793,,,Bromley,2021
365497,1,08/01/2009,ABAN,B088648905633,,,Southwark,2021
737153,1,31/05/2003,WOTH,S091529097102,,,Southwark,2021
464233,1,31/03/2005,WIRT,Z026566439651,,,Southwark,2021
774643,2,27/06/2006,MWAS,Y055033091670,,,Southwark,2020
994928,1,01/02/2005,WROM,G039321116055,,,Hillingdon,2017
694959,1,11/09/2008,MWAS,Z092594109024,,,Hillingdon,2020
248635,2,30/10/2001,BAFR,O075790678196,,,Southwark,2021
513331,1,11/10/2009,WIRT,U062830585128,,,Bromley,2017
876949,1,11/03/2001,AIND,A055109283182,,,Hillingdon,2018
311627,1,25/02/2001,MWBC,M096485943580,,,Southwark,2018
842080,2,14/05/2007,WROM,E036647976521,,,Bromley,2018
927421,2,19/03/2007,ABAN,L096634408111,,,Bromley,2021
643340,1,12/04/2004,WIRT,B025161806306,,,Bromley,2019
550940,1,11/07/2004,BCRB,R034294505579,,,Bromley,2020
155620,2,19/09/2004,OOTH,A001366054712,,,Bromley,2021
386356,1,23/08/2008,BAFR,H047853649807,,,Southwark,2017
365512,2,11/02/2001,MOTH,Q071750813981,,,Bromley,2017
635687,1,25/10/2004,AIND,J067297367919,,,Southwark,2020
428775,1,18/03/2005,AIND,O074379008676,,,Southwark,2021
291083,2,10/08/2006,MWBA,M090388820257,,,Southwark,2021
673034,2,12/02/2008,MWAS,H057704240760,,,Southwark,2019
814038,2,09/01/2007,MWAS,X044981123816,,,Hillingdon,2021
422444,2,30/11/2001,OOTH,M097328773264,,,Southwark,2018
742220,2,24/09/2000,BAFR,M014519228329,,,Bromley,2020
280524,1,24/12/2003,MWBC,G083032692351,,,Southwark,2019
318887,1,07/09/2002,WROM,K044405090237,,,Southwark,2017
5955,1,19/08/2009,BAFR,J068827775173,,,Southwark,2020
781863,1,02/04/2002,WBRI,Y066761025102,,,Southwark,2021
99273,1,03/07/2005,REFU,Y085151664331,,,Southwark,2020
775675,2,02/04/2006,BOTH,J070382886759,,,Southwark,2018
347253,2,29/11/2000,REFU,U091574097544,,,Southwark,2017
140405,1,02/03/2008,NOBT,X024963182164,,,Southwark,2019
753090,1,26/12/2009,MWBC,N074041046350,,,Bromley,2019
610489,2,24/05/2006,APKN,T037978312243,,,Hillingdon,2019
719836,2,30/07/2005,BAFR,V088817270605,,,Southwark,2017
628500,1,07/09/2000,WBRI,I060079204878,,,Bromley,2017
397940,2,17/03/2005,AOTH,T080178625463,,,Bromley,2020
991189,1,20/05/2006,WBRI,S015033405894,,,Hillingdon,2020
70568,1,05/08/2000,NOBT,Z054840334203,,,Hillingdon,2021
472130,1,04/02/2004,MWBA,B023555825835,,,Bromley,2020
261597,1,05/01/2006,WIRI,I083713247408,,,Southwark,2020
942534,2,19/09/2009,MWAS,R040767669795,,,Southwark,2017
210846,2,09/11/2007,WOTH,A011305635661,,,Southwark,2021
187276,1,02/09/2006,AOTH,A030266826026,,,Southwark,2021
293925,1,26/12/2000,ABAN,U067044939862,,,Southwark,2020
716651,1,14/11/2009,AIND,L008065103647,,,Bromley,2017
690022,1,13/05/2002,MOTH,Q090506719697,,,Bromley,2018
171369,2,29/07/2001,ABAN,K086104209748,,,Hillingdon,2018
812221,2,10/08/2006,APKN,V003349657697,,,Bromley,2020
70974,2,22/12/2008,MOTH,W043187278370,,,Southwark,2020
972733,1,06/05/2008,MWAS,L074293376676,,,Southwark,2017
489455,2,31/08/2008,OOTH,F011477533389,,,Southwark,2017
211309,1,07/11/2004,MWAS,T048741222233,,,Hillingdon,2019
359195,2,09/02/2009,AIND,I038100633233,,,Southwark,2017
159447,2,08/12/2008,OOTH,B013886067330,,,Southwark,2018
352274,1,02/10/2000,BOTH,F059320444035,,,Southwark,2018
418846,1,26/08/2009,APKN,Y083756633299,,,Southwark,2021
893365,2,06/09/2003,MOTH,B069232251370,,,Southwark,2021
831429,2,26/12/2009,OOTH,P085918211744,,,Hillingdon,2021
57648,1,02/09/2008,NOBT,E078333898249,,,Hillingdon,2017
315859,2,27/07/2000,WIRT,K069467004274,,,Hillingdon,2020
484400,1,22/04/2003,CHNE,B067536638464,,,Bromley,2017
539670,2,14/04/2008,WBRI,G075411589743,,,Bromley,2021
579068,2,06/11/2002,OOTH,A042666227730,,,Hillingdon,2021
1656,1,25/01/2006,WBRI,J085527718559,,,Southwark,2020
679089,1,23/07/2001,WIRI,M018282532437,,,Hillingdon,2018
257705,2,06/03/2007,WROM,K096643170384,,,Southwark,2021
411707,2,28/10/2008,MOTH,A077301877588,,,Southwark,2020
534005,2,14/05/2000,APKN,D073152340737,,,Southwark,2017
103114,2,16/05/2006,MWBA,K005912181735,,,Southwark,2020
414521,2,14/10/2009,CHNE,I073964300941,,,Bromley,2018
777424,1,05/11/2005,BOTH,X064236256900,,,Southwark,2020
388154,2,11/06/2008,BOTH,V023158284458,,,Southwark,2018
227488,2,11/08/2004,MWBC,I034975157626,,,Hillingdon,2019
279660,2,09/02/2009,OOTH,U097932615128,,,Bromley,2020
481088,1,28/02/2006,CHNE,K088832986703,,,Hillingdon,2021
629831,2,04/10/2007,BAFR,J093468576125,,,Bromley,2017
766270,1,09/02/2002,MWBC,E003704228614,,,Bromley,2017
800491,2,05/07/2008,BAFR,X013500857289,,,Bromley,2021
750487,2,11/06/2003,CHNE,H029935423528,,,Southwark,2021
63975,2,09/12/2006,CHNE,N003600836325,,,Southwark,2017
53927,2,25/01/2006,WOTH,D098398624737,,,Southwark,2020
460752,2,14/11/2008,OOTH,R089951240129,,,Bromley,2021
460574,1,24/12/2002,MOTH,D086331036644,,,Southwark,2017
284120,1,25/05/2009,WOTH,Q075356713877,,,Bromley,2020
546042,1,12/06/2003,WROM,T072999949937,,,Bromley,2019
425538,1,23/08/2009,WROM,M095814341035,,,Hillingdon,2017
584620,1,14/12/2000,MWAS,A096094318072,,,Bromley,2017
164592,2,03/10/2004,MOTH,D061467442844,,,Bromley,2018
519,1,26/03/2002,AOTH,Z083151961630,,,Hillingdon,2021
75578,1,20/06/2001,BAFR,U049087631928,,,Hillingdon,2018
838434,2,12/07/2006,CHNE,J082515354925,,,Southwark,2020
325007,1,06/12/2009,CHNE,H052060460155,,,Southwark,2019
290,2,13/11/2000,MWBC,S077270991828,,,Bromley,2018
294875,1,01/03/2004,MWBA,F062141812188,,,Southwark,2020
502148,1,05/10/2001,OOTH,F010072921303,,,Hillingdon,2018
411555,1,28/04/2001,MWBA,G063125093680,,,Southwark,2018
895808,1,26/01/2009,BAFR,G000052982093,,,Hillingdon,2020
740561,2,21/12/2006,BOTH,E059209051247,,,Bromley,2020
364661,2,21/07/2000,BAFR,R067471644448,,,Bromley,2021
454546,1,25/03/2009,MOTH,G083815330215,,,Southwark,2017
812096,2,04/06/2008,MWBA,W055040635331,,,Southwark,2020
546571,2,04/05/2003,NOBT,O097325077435,,,Bromley,2018
444178,1,22/09/2000,BCRB,H068748435289,,,Hillingdon,2018
446453,1,19/08/2007,MWAS,O060088226723,,,Southwark,2019
275069,2,21/02/2008,REFU,C047233588915,,,Hillingdon,2019
216649,2,22/04/2004,WIRT,M094850983577,,,Hillingdon,2019
579001,1,23/10/2006,WROM,V075376052261,,,Bromley,2020
625998,2,06/07/2003,BOTH,M070449482970,,,Hillingdon,2017
549349,1,14/05/2005,NOBT,Y037398738157,,,Hillingdon,2020
852739,1,22/02/2007,WBRI,S084266748184,,,Hillingdon,2019
149412,2,16/11/2007,BCRB,V042380038652,,,Bromley,2018
417910,1,01/07/2001,MOTH,Z051805894237,,,Bromley,2020
755819,2,30/08/2008,CHNE,C098641532391,,,Hillingdon,2019
162049,1,05/04/2008,OOTH,U075088365759,,,Hillingdon,2019
282989,1,22/10/2009,BOTH,O012221421828,,,Hillingdon,2018
818828,2,27/12/2000,WIRI,P084109199756,,,Hillingdon,2019
675419,1,06/03/2005,AIND,X017327609833,,,Hillingdon,2018
970280,2,02/07/2007,NOBT,E037689757645,,,Bromley,2019
948155,1,25/11/2006,WIRI,N057905873205,,,Southwark,2021
544632,1,08/04/2000,AIND,I003960568634,,,Bromley,2018
397023,2,24/02/2003,OOTH,W009792898792,,,Southwark,2018
923920,1,30/07/2000,ABAN,W014653132554,,,Bromley,2019
422617,2,08/07/2005,NOBT,F001088721722,,,Southwark,2017
536218,1,25/07/2009,OOTH,B080852841567,,,Hillingdon,2021
709655,1,17/05/2006,ABAN,R067442039196,,,Southwark,2017
871945,1,22/01/2006,APKN,L066704408874,,,Southwark,2021
422413,1,15/05/2009,BCRB,P076509903805,,,Southwark,2021
92150,2,31/07/2008,ABAN,X075537188636,,,Bromley,2018
282067,1,13/10/2006,WBRI,L069288592535,,,Southwark,2018
672530,1,02/04/2002,WBRI,J098196068854,,,Bromley,2017
719756,1,27/03/2008,WOTH,G002637750426,,,Southwark,2021
844369,1,24/03/2006,AIND,U057820454535,,,Hillingdon,2017
533989,2,27/11/2002,MWAS,K082258907992,,,Hillingdon,2017
731704,2,31/12/2007,AIND,G012866603948,,,Southwark,2021
236096,2,28/11/2008,MWBA,Y043116630012,,,Southwark,2020
993069,2,25/08/2005,MOTH,D005392752387,,,Hillingdon,2019
146596,2,04/11/2003,WIRT,T084635363492,,,Southwark,2017
46269,2,23/11/2009,REFU,G040660869968,,,Hillingdon,2018
865691,2,13/12/2003,MWAS,M079679871033,,,Bromley,2021
324051,2,02/11/2005,MWBA,X029965769702,,,Bromley,2017
717291,1,10/05/2008,WBRI,R043830567316,,,Bromley,2020
593379,1,09/09/2002,NOBT,R002150782342,,,Hillingdon,2019
814378,2,16/08/2000,AIND,T034688987368,,,Hillingdon,2019
905870,1,24/05/2002,BCRB,M000534024714,,,Bromley,2019
882477,2,03/07/2001,MWBA,E021167971628,,,Southwark,2021
828730,2,16/07/2003,CHNE,W031091763501,,,Bromley,2017
278501,2,20/01/2009,WROM,R014360234551,,,Bromley,2021
666948,2,31/10/2002,BOTH,U071041791144,,,Hillingdon,2020
140302,1,16/03/2004,WIRI,Q043462748535,,,Bromley,2021
438335,1,07/07/2009,OOTH,S049196704737,,,Southwark,2020
122983,1,09/03/2006,AOTH,R029520689140,,,Southwark,2017
516144,1,20/11/2005,MWAS,U096866684592,,,Southwark,2020
433741,2,05/09/2007,MWAS,R006732373718,,,Bromley,2020
109036,2,22/09/2004,OOTH,C023816763637,,,Southwark,2018
163651,2,09/10/2004,REFU,X069070010265,,,Bromley,2017
519059,1,14/08/2005,MOTH,L062252004368,,,Hillingdon,2018
524792,2,04/02/2002,WBRI,E021074591147,,,Bromley,2017
512334,2,09/08/2006,MWAS,I004115279608,,,Southwark,2018
625116,2,16/02/2008,MWAS,M043488667151,,,Southwark,2020
653400,1,03/06/2001,WIRT,U041817259633,,,Bromley,2017
288164,1,28/09/2007,BOTH,O051544951413,,,Southwark,2019
937220,2,04/06/2008,OOTH,S084967372908,,,Bromley,2020
576170,2,04/10/2007,WOTH,R037672110195,,,Bromley,2021
554262,1,20/09/2009,ABAN,I022265318790,,,Bromley,2021
42306,2,20/09/2002,REFU,Z048415637684,,,Southwark,2017
715090,2,16/04/2007,AIND,Y053926726728,,,Bromley,2019
127822,2,14/01/2007,WIRT,G082529607502,,,Bromley,2021
720102,1,07/09/2007,AIND,N089185129229,,,Bromley,2019
62049,1,26/02/2007,WIRT,V007238896684,,,Hillingdon,2021
180755,1,19/11/2005,BCRB,X015184128838,,,Southwark,2021
675875,1,11/04/2005,WIRT,V045446009442,,,Southwark,2017
34572,2,17/09/2008,BCRB,B055762752526,,,Bromley,2017
161955,1,13/01/2009,WBRI,V009092646622,,,Southwark,2019
616437,1,14/12/2004,APKN,G081565732555,,,Southwark,2019
137924,2,30/04/2007,WIRT,X002293765031,,,Southwark,2018
580909,1,03/07/2005,MWAS,J037685050373,,,Hillingdon,2018
741598,2,15/09/2001,AIND,Q016150865898,,,Hillingdon,2018
986890,2,23/10/2003,MOTH,N012106758458,,,Bromley,2020
625004,1,15/03/2008,WROM,F011614995802,,,Southwark,2018
897460,2,10/08/2008,OOTH,T088461658807,,,Bromley,2018
951716,1,01/02/2007,WOTH,H028653313898,,,Southwark,2017
563451,1,19/07/2006,WIRT,E047436963737,,,Bromley,2021
311255,2,26/08/2009,NOBT,G003904541844,,,Southwark,2020
601190,1,03/04/2007,APKN,Y054967331703,,,Bromley,2020
871541,2,22/08/2009,OOTH,B079212267334,,,Bromley,2019
261119,1,14/07/2007,BAFR,P072930722481,,,Hillingdon,2019
778189,2,04/09/2002,AOTH,R036876616149,,,Hillingdon,2020
948010,1,18/11/2006,WROM,Y089162837635,,,Bromley,2017
53639,2,17/01/2001,CHNE,B008138222402,,,Hillingdon,2018
992331,2,05/01/2006,BAFR,Q000523888240,,,Bromley,2021
244657,2,23/04/2002,WBRI,H060707288819,,,Southwark,2021
647811,1,24/05/2006,MOTH,Y003283235498,,,Bromley,2018
822010,1,19/01/2003,WROM,X093091750132,,,Bromley,2018
401650,2,15/10/2006,WBRI,M063490821928,,,Bromley,2017
109200,2,09/08/2008,ABAN,N053378718909,,,Bromley,2020
77296,1,30/06/2007,REFU,R059449166410,,,Southwark,2020
583209,1,02/07/2009,WROM,H031895823080,,,Hillingdon,2020
582902,1,13/02/2006,APKN,A010069569335,,,Bromley,2019
942509,1,05/02/2006,MWAS,B053854775398,,,Hillingdon,2021
73142,1,14/04/2006,WROM,B090324946866,,,Bromley,2019
817309,1,12/07/2005,BAFR,I081122421994,,,Hillingdon,2017
947752,2,15/02/2006,AIND,T003700624866,,,Bromley,2017
893776,1,03/11/2002,AOTH,E090439226140,,,Southwark,2017
978638,1,03/02/2005,WIRI,W042007626395,,,Hillingdon,2020
617686,2,28/11/2006,BOTH,W073455076868,,,Southwark,2021
19259,2,08/08/2007,WROM,K053655532422,,,Hillingdon,2019
110350,2,14/12/2003,AIND,M031904257479,,,Bromley,2021
676893,1,14/08/2002,ABAN,F075405406561,,,Southwark,2018
326293,1,28/08/2009,AOTH,H050087712692,,,Southwark,2021
549023,2,05/07/2005,APKN,P019900227986,,,Southwark,2017
288064,1,25/11/2000,MWAS,H028794284724,,,Southwark,2020
984305,2,21/09/2002,MOTH,M032527292790,,,Southwark,2017
118889,2,16/06/2004,BAFR,H073378260636,,,Hillingdon,2017
783886,1,13/03/2007,WIRT,Q076702560466,,,Southwark,2019
864252,1,17/03/2002,MWBC,H094879522414,,,Bromley,2017
831861,1,28/02/2007,WIRI,A042025448322,,,Bromley,2018
681893,2,14/10/2005,BOTH,B051123714342,,,Southwark,2017
306870,1,26/10/2003,REFU,O001367587323,,,Bromley,2020
96935,1,18/07/2002,CHNE,I062412483276,,,Southwark,2021
729233,2,07/12/2007,OOTH,G004964948238,,,Southwark,2021
804955,1,09/05/2006,REFU,D007056841913,,,Southwark,2017
334368,1,03/04/2006,AIND,L028792298768,,,Hillingdon,2021
558590,2,29/08/2009,WBRI,W020250502990,,,Bromley,2020
357220,1,30/07/2005,MWBA,X085070923823,,,Bromley,2017
156679,1,04/03/2006,BCRB,H037645540127,,,Hillingdon,2020
840802,1,02/12/2005,AOTH,O047182337980,,,Bromley,2020
533183,1,23/10/2004,NOBT,I014564225411,,,Southwark,2021
952289,1,15/02/2009,WBRI,A093384733452,,,Hillingdon,2018
442750,2,20/10/2008,WIRT,Y053556022495,,,Bromley,2019
959235,2,01/07/2003,BAFR,Z054464683471,,,Southwark,2020
530282,1,29/04/2007,WIRI,G024242807169,,,Bromley,2018
395766,2,22/07/2008,AIND,L055752633696,,,Southwark,2017
584671,2,06/08/2008,ABAN,Q072271036671,,,Bromley,2020
673935,2,11/11/2007,WBRI,L095168493623,,,Southwark,2017
435450,2,21/04/2002,WIRI,S006591523642,,,Bromley,2018
684861,2,20/10/2008,BOTH,P071733871682,,,Bromley,2020
198564,1,24/10/2005,MWAS,P047275123481,,,Southwark,2021
69504,2,23/06/2008,OOTH,E075384745223,,,Southwark,2017
773456,1,10/10/2001,MWAS,E030983162950,,,Southwark,2021
448742,2,23/06/2001,MWAS,A076697046522,,,Bromley,2021
374389,1,24/06/2003,ABAN,V042733144571,,,Hillingdon,2017
965457,2,15/06/2000,MOTH,D091580550401,,,Southwark,2019
59856,1,11/01/2004,WIRI,I063792289283,,,Southwark,2020
298190,2,04/03/2005,WOTH,O066578018768,,,Bromley,2020
180759,1,08/04/2002,AIND,N000931516549,,,Hillingdon,2018
373218,2,06/08/2009,WIRT,H032761928047,,,Hillingdon,2019
289121,1,09/10/2006,AOTH,U090716398126,,,Bromley,2017
116646,2,16/05/2005,BCRB,Z034275681264,,,Southwark,2019
333439,1,21/08/2005,AOTH,S091540637620,,,Hillingdon,2018
482840,2,14/01/2005,BOTH,A085653112086,,,Bromley,2021
48338,2,30/05/2001,MWBA,Y080945108691,,,Hillingdon,2019
507322,2,04/01/2008,WIRT,H097482181693,,,Bromley,2017
499567,1,20/02/2001,MOTH,Y019814875489,,,Southwark,2019
850847,2,05/10/2003,APKN,K082991898219,,,Southwark,2020
787064,1,05/10/2001,MWBA,X054946569046,,,Southwark,2017
355602,1,13/02/2004,WBRI,G080686046097,,,Bromley,2019
311063,1,28/05/2009,WIRT,B007827604339,,,Southwark,2019
218168,2,11/07/2004,MWAS,M058030200934,,,Hillingdon,2019
711540,1,30/03/2004,BAFR,O017666959736,,,Bromley,2017
204118,2,21/10/2001,AOTH,Y032357673917,,,Hillingdon,2017
60288,2,29/07/2006,OOTH,Q082280579417,,,Hillingdon,2021
737726,2,17/05/2008,CHNE,L058670690614,,,Southwark,2019
58309,1,30/12/2000,REFU,V024405324654,,,Hillingdon,2021
648057,1,28/06/2009,CHNE,R040595683488,,,Southwark,2019
892330,2,21/08/2005,APKN,J034848297206,,,Bromley,2020
866837,1,27/09/2002,OOTH,K098828333896,,,Southwark,2019
854826,1,12/02/2001,ABAN,Y057584625644,,,Southwark,2020
659430,2,10/04/2003,AIND,Q064727194396,,,Bromley,2017
264289,1,07/12/2007,REFU,M018860799651,,,Hillingdon,2020
694922,1,19/07/2002,REFU,P094406480310,,,Bromley,2021
573864,1,20/02/2008,BAFR,Q058358984984,,,Southwark,2017
793347,1,17/10/2003,WOTH,G026331179666,,,Southwark,2019
553848,1,22/02/2008,NOBT,Q011320601641,,,Hillingdon,2018
87101,2,07/12/2007,MWBA,D020791159791,,,Bromley,2019
255201,1,23/11/2007,WIRT,A001522546263,,,Bromley,2020
4015,1,06/12/2003,NOBT,H085907469081,,,Southwark,2019
951969,1,02/11/2006,AOTH,V025993264806,,,Hillingdon,2021
606708,2,18/09/2003,WOTH,I096058873391,,,Hillingdon,2018
928597,2,29/07/2007,MOTH,E056717634618,,,Southwark,2020
262711,2,14/09/2007,REFU,S081687881585,,,Bromley,2019
441738,2,10/09/2006,MWAS,K019494509879,,,Hillingdon,2018
850642,2,11/11/2006,MWBA,D016985951833,,,Bromley,2021
693410,2,24/12/2003,WIRI,R004144869739,,,Bromley,2019
266902,1,02/05/2004,WROM,N052049038197,,,Bromley,2017
429851,2,10/12/2009,WIRI,F056611049461,,,Bromley,2021
261594,2,17/12/2001,ABAN,H070321813646,,,Southwark,2019
828914,1,09/01/2005,BOTH,G090174302979,,,Southwark,2018
119095,1,05/12/2007,BAFR,T057528386915,,,Southwark,2020
214178,1,12/09/2002,NOBT,P047203921014,,,Hillingdon,2019
981287,1,26/01/2003,MWBA,U058419588348,,,Southwark,2021
830338,1,24/05/2006,AIND,X003972288085,,,Hillingdon,2018
349082,2,14/05/2006,CHNE,C047512541590,,,Bromley,2018
91711,2,27/04/2001,OOTH,Y016608683337,,,Bromley,2017
632442,1,20/01/2005,MOTH,O071795789800,,,Bromley,2020
373260,2,21/09/2008,MWBA,R018060330315,,,Bromley,2017
