CHILD,DECOM,RNE,LS,CIN,PLACE,PLACE_PROVIDER,DEC,REC,REASON_PLACE_CHANGE,HOME_POST,PL_POST,URN,LA,YEAR
225242,2017-07-08,L,C1,N8,U4,PR4,2018-03-27,X1,,Y19 7OZ,J7 9ZE,1633007,Bromley,2017
225242,2018-03-27,L,J2,N8,U4,PR4,,X1,LAREQ,Y19 7OZ,J7 9ZE,1633007,Bromley,2017
158853,2016-02-06,P,L2,N3,U4,PR1,2017-11-27,X1,CHILD,R22 4DT,B4 4MA,6959784,Southwark,2017
158853,2017-11-27,P,L2,N3,U5,PR4,,X1,CARPL,D4 1AR,O24 2TC,4525423,Southwark,2017
97679,2017-02-20,L,E1,N4,U5,PR4,2017-05-06,X1,,D14 1IO,U30 2YA,4770397,Hillingdon,2017
97679,2017-05-06,L,E1,N4,U5,PR4,2017-07-03,E6,,D14 1IO,U30 2YA,4770397,Hillingdon,2017
295982,2018-01-15,S,D1,N8,U1,PR1,,X1,APPRR,C13 2KF,P16 6KD,2325457,Bromley,2017
426648,2017-07-24,S,J1,N5,U4,PR4,2017-10-01,X1,APPRR,N18 9YP,A5 5SB,7514432,Hillingdon,2017
426648,2017-10-01,P,J1,N5,U5,PR4,2017-10-14,X1,APPRR,G13 1RQ,G22 6MI,6461171,Hillingdon,2017
426648,2017-10-14,P,J1,N5,P2,PR1,2017-12-15,E16,,M16 6YO,P17 6ZE,8603745,Hillingdon,2017
389248,2017-03-18,P,J1,N1,H5,PR4,2017-08-18,X1,APPRR,E25 5GV,L22 2XK,4170923,Hillingdon,2017
389248,2017-08-18,P,J1,N1,P1,PR0,2018-01-09,E7,,O6 2UP,W13 5SC,8351309,Hillingdon,2017
501350,2018-01-04,S,V4,N6,U4,PR1,2018-01-08,E48,,W3 4SG,Q25 6WN,3977979,Bromley,2017
397815,2016-03-25,L,J2,N4,U5,PR4,2017-10-21,X1,,Y5 6EL,W6 3XJ,4649020,Southwark,2017
397815,2017-10-21,T,J2,N4,U5,PR4,2018-01-31,X1,,Y5 6EL,W6 3XJ,4649020,Southwark,2017
397815,2018-01-31,T,J2,N4,U5,PR4,,E7,,Y5 6EL,W6 3XJ,4649020,Southwark,2017
972102,2017-03-04,P,E1,N5,H5,PR1,2017-06-12,E46,,B23 6VB,Y23 6VT,6394300,Bromley,2017
53693,2017-05-09,S,E1,N6,U4,PR4,2017-11-05,X1,ALLEG,U2 8BG,Y24 1MQ,2697957,Southwark,2017
53693,2017-11-05,P,E1,N6,K2,PR4,,X1,OTHER,R13 4XX,S28 5OL,4519152,Southwark,2017
168196,2017-02-21,S,J3,N5,U4,PR4,2017-10-25,X1,,T24 7QE,T7 3JW,2302633,Southwark,2017
168196,2017-10-25,L,V4,N5,U4,PR4,,X1,OTHER,T24 7QE,T7 3JW,2302633,Southwark,2017
568347,2017-01-02,S,L3,N7,U4,PR4,2017-07-31,E15,,J9 6EP,A28 5CA,4194310,Southwark,2017
637234,2017-03-15,P,L3,N7,U5,PR1,2017-12-07,X1,,M9 9JA,L15 4ZF,3046710,Southwark,2017
637234,2017-12-07,L,L2,N7,U5,PR1,,X1,CUSTOD,M9 9JA,L15 4ZF,3046710,Southwark,2017
406894,2016-07-30,L,J1,N2,K2,PR4,2017-08-04,X1,CLOSE,O26 5BC,D10 9OY,7914796,Southwark,2017
406894,2017-08-04,P,J1,N2,U5,PR1,2017-08-25,X1,CUSTOD,V27 5GZ,X21 9EP,7931022,Southwark,2017
406894,2017-08-25,P,J1,N2,U4,PR4,,X1,,T21 3LZ,S29 8UO,8834689,Southwark,2017
251367,2017-03-27,L,L3,N6,U5,PR1,2017-04-24,X1,,A13 1OH,B14 7JS,9614162,Southwark,2017
251367,2017-04-24,L,C1,N6,U5,PR1,2017-05-26,E5,,A13 1OH,B14 7JS,9614162,Southwark,2017
452400,2016-08-28,T,V4,N5,U4,PR1,2017-09-02,E41,,L8 2LF,G9 2QG,3838030,Bromley,2017
680750,2016-11-24,L,J3,N3,U5,PR4,2017-05-14,X1,,P12 8OL,W30 1EI,7451838,Bromley,2017
680750,2017-05-14,L,C1,N3,U5,PR4,2017-06-07,X1,LAREQ,P12 8OL,W30 1EI,7451838,Bromley,2017
680750,2017-06-07,P,C1,N3,U5,PR4,2017-06-29,X1,,R21 8OO,O20 9RA,6996379,Bromley,2017
680750,2017-06-29,T,C1,N3,U5,PR4,2017-11-11,X1,CUSTOD,R21 8OO,O20 9RA,6996379,Bromley,2017
680750,2017-11-11,P,C1,N3,U5,PR1,2018-03-10,E47,,N2 6VS,P5 5OU,5976548,Bromley,2017
738595,2016-05-12,S,C1,N7,U5,PR4,2017-06-03,X1,,M11 6MP,Y17 5BH,3348109,Southwark,2017
738595,2017-06-03,T,C1,N7,U5,PR4,2017-10-28,X1,LAREQ,M11 6MP,Y17 5BH,3348109,Southwark,2017
738595,2017-10-28,P,C1,N7,H5,PR4,,X1,,R20 4HI,H4 7TH,4994652,Southwark,2017
319688,2017-03-26,P,C2,N7,U5,PR4,2017-10-22,X1,APPRR,V4 9AO,U2 8TN,9983388,Hillingdon,2017
319688,2017-10-22,P,C2,N7,U4,PR1,2017-11-11,X1,CREQO,U25 6EK,B15 5TE,9588311,Hillingdon,2017
319688,2017-11-11,P,C2,N7,U3,PR1,2018-04-01,X1,ALLEG,Y24 7VX,Z8 3JP,4047215,Hillingdon,2017
96860,2016-08-21,L,L1,N7,U3,PR1,2017-08-30,X1,,Z8 8HE,X24 9ND,3006979,Bromley,2017
96860,2017-08-30,L,D1,N7,U3,PR1,,E7,,Z8 8HE,X24 9ND,3006979,Bromley,2017
305719,2017-11-18,S,C2,N4,U2,PR1,2018-02-23,E11,,R21 5DY,Z15 6UA,8276346,Hillingdon,2017
721638,2017-08-20,S,L3,N3,P1,PR0,2017-12-31,X1,,H8 9KF,N15 6UK,4109431,Hillingdon,2017
721638,2017-12-31,T,L3,N3,P1,PR0,,X1,,H8 9KF,N15 6UK,4109431,Hillingdon,2017
91,2016-09-01,P,J2,N2,H5,PR4,2017-10-13,E8,,W11 2QK,Y7 6AL,2141660,Bromley,2017
257140,2016-03-24,L,E1,N2,U5,PR4,2017-09-17,X1,CREQO,A12 9ZV,D17 3KT,9663928,Bromley,2017
257140,2017-09-17,P,E1,N2,U5,PR1,2017-10-29,X1,APPRR,R1 1FK,N2 8JY,8504875,Bromley,2017
257140,2017-10-29,P,E1,N2,U4,PR4,2017-11-12,E6,,J10 5TC,P20 7HZ,2108281,Bromley,2017
987589,2016-08-30,P,D1,N5,U5,PR4,2017-08-09,E14,,Q13 5DJ,Z16 8EQ,5148284,Hillingdon,2017
525420,2017-12-17,S,J2,N1,U5,PR1,,X1,,J30 6VO,G28 1MF,2618759,Bromley,2017
911186,2014-10-04,P,J2,N2,U5,PR1,2017-10-22,X1,APPRR,B5 3PE,W28 9HK,3492509,Southwark,2017
911186,2017-10-22,P,J2,N2,U5,PR1,2017-11-14,E14,,N9 1XK,J15 2AN,5223371,Southwark,2017
711196,2014-07-27,P,J2,N6,U4,PR1,2017-04-22,X1,OTHER,H27 9SZ,E28 8YM,5132923,Southwark,2017
711196,2017-04-22,P,J2,N6,K2,PR1,,X1,CREQO,Z16 1ZJ,C20 8XS,2466709,Southwark,2017
370565,2015-12-24,L,E1,N2,U4,PR1,2017-10-16,X1,,M16 2QF,F2 2ZE,8227736,Southwark,2017
370565,2017-10-16,T,E1,N2,U4,PR1,2018-02-22,X1,,M16 2QF,F2 2ZE,8227736,Southwark,2017
370565,2018-02-22,L,V2,N2,U4,PR1,,X1,LAREQ,M16 2QF,F2 2ZE,8227736,Southwark,2017
863772,2017-06-19,S,C1,N7,U5,PR1,2017-10-27,X1,APPRR,K21 9LZ,R14 1QZ,7006947,Bromley,2017
863772,2017-10-27,P,C1,N7,U5,PR1,2017-11-29,E12,,G1 3LU,C30 2KB,2126020,Bromley,2017
569911,2017-03-01,S,V2,N4,P2,PR4,2017-04-08,E4B,,Z30 6ZZ,Y15 7JW,9594463,Bromley,2017
289653,2015-05-02,P,J1,N8,P1,PR0,2017-07-11,X1,LAREQ,Q24 4HH,I17 1UC,9013442,Southwark,2017
289653,2017-07-11,P,J1,N8,U2,PR1,,E14,,O3 2RX,E28 3XC,8102590,Southwark,2017
944392,2015-07-16,L,L1,N2,U4,PR1,2017-11-14,X1,,S24 9OY,S12 8MG,4396900,Bromley,2017
944392,2017-11-14,U,J1,N2,U4,PR1,2017-12-06,X1,CHILD,S24 9OY,S12 8MG,4396900,Bromley,2017
944392,2017-12-06,P,J1,N2,K2,PR4,,X1,OTHER,A16 4GE,G14 4IS,3308264,Bromley,2017
447903,2016-08-28,T,C1,N2,U5,PR1,2018-02-27,X1,,L24 4LL,W10 5QO,6738616,Southwark,2017
447903,2018-02-27,L,L3,N2,U5,PR1,,X1,OTHER,L24 4LL,W10 5QO,6738616,Southwark,2017
230591,2017-11-08,S,V3,N8,U5,PR4,,X1,CREQB,T4 9RR,N4 5TN,8862250,Bromley,2017
92629,2018-02-08,S,J3,N6,U4,PR1,,X1,PLACE,R14 5IJ,R23 8VC,4221057,Hillingdon,2017
52040,2016-05-26,L,L1,N7,U3,PR1,2017-07-23,E8,,E6 2FH,H30 8RF,9191153,Bromley,2017
626490,2016-06-24,P,V4,N3,U4,PR4,2017-07-06,X1,CUSTOD,Y27 3HJ,F3 1CN,4821493,Bromley,2017
626490,2017-07-06,P,V4,N3,U5,PR1,2018-03-16,X1,,G10 7LW,F29 6BT,3361008,Bromley,2017
626490,2018-03-16,T,V4,N3,U5,PR1,,X1,ALLEG,G10 7LW,F29 6BT,3361008,Bromley,2017
718139,2017-01-15,P,C1,N1,U5,PR4,2017-09-14,X1,LAREQ,K14 3SF,J26 9QY,2777391,Hillingdon,2017
718139,2017-09-14,P,C1,N1,U4,PR4,2017-09-25,X1,,T2 9FC,N11 8UD,5612011,Hillingdon,2017
718139,2017-09-25,T,C1,N1,U4,PR4,2017-10-12,E48,,T2 9FC,N11 8UD,5612011,Hillingdon,2017
718139,2016-07-27,P,L2,N6,P1,PR0,2017-12-02,X1,,N14 9ZF,K14 3DZ,1376792,Hillingdon,2017
718139,2017-12-02,L,L1,N6,P1,PR0,,X1,,N14 9ZF,K14 3DZ,1376792,Hillingdon,2017
297509,2017-01-24,P,J1,N4,U5,PR1,2017-09-10,E12,,E18 9FR,G29 3YD,4348777,Hillingdon,2017
623826,2016-12-18,P,J3,N6,U5,PR4,2017-10-13,X1,CARPL,V19 1AG,Y29 7EC,2261244,Southwark,2017
623826,2017-10-13,P,J3,N6,U5,PR1,,X1,,S3 8BZ,F27 3ZN,2204933,Southwark,2017
955207,2017-11-12,S,L1,N3,U4,PR1,2017-12-22,X1,,W11 8PN,D8 3OR,7841737,Southwark,2017
955207,2017-12-22,T,L1,N3,U4,PR1,,X1,,W11 8PN,D8 3OR,7841737,Southwark,2017
158809,2016-10-04,P,L3,N3,U4,PR1,2017-11-11,X1,CARPL,A2 1SI,L2 7QF,5719865,Hillingdon,2017
158809,2017-11-11,P,L3,N3,U5,PR4,,X1,,P4 5AC,A25 3HV,1840743,Hillingdon,2017
344070,2016-04-17,P,J3,N4,U5,PR4,2017-05-01,X1,OTHER,Y25 8RX,Q2 3BQ,9728723,Bromley,2017
344070,2017-05-01,P,J3,N4,U5,PR1,2017-05-13,X1,LAREQ,C4 5JA,L16 6MH,4406383,Bromley,2017
344070,2017-05-13,P,J3,N4,U4,PR1,2017-12-29,X1,PLACE,Q22 4QL,S26 5CO,4391734,Bromley,2017
344070,2017-12-29,P,J3,N4,U4,PR1,,E45,,P25 7QN,D13 1ZT,6517466,Bromley,2017
207288,2017-10-22,S,E1,N5,P1,PR0,,E48,,G9 3VC,C19 2BH,3810685,Hillingdon,2017
161229,2017-05-30,S,J3,N8,P2,PR4,2018-01-30,E13,,I7 3GK,Y10 1QS,6604444,Hillingdon,2017
420870,2015-04-19,L,L2,N4,U2,PR1,2017-08-15,X1,CREQB,V19 7QR,A9 4DP,3954352,Bromley,2017
420870,2017-08-15,P,L2,N4,U4,PR1,2017-09-25,X1,CLOSE,U16 2SQ,Q14 9DA,2575297,Bromley,2017
420870,2017-09-25,P,L2,N4,P1,PR0,,X1,,O14 5FR,L4 9CC,4201696,Bromley,2017
115396,2018-02-23,S,D1,N4,P2,PR1,,X1,,F23 5IG,L16 5TZ,9246924,Southwark,2017
748243,2016-03-09,P,V2,N1,K2,PR4,2017-06-12,X1,OTHER,E5 8WQ,F2 8YB,3087727,Southwark,2017
748243,2017-06-12,P,V2,N1,K2,PR4,2017-12-16,X1,,G20 3IU,B15 2MF,2161786,Southwark,2017
748243,2017-12-16,L,L2,N1,K2,PR4,2017-12-22,X1,PLACE,G20 3IU,B15 2MF,2161786,Southwark,2017
748243,2017-12-22,P,L2,N1,U5,PR1,2018-03-21,X1,,W22 5RI,T28 4BA,7522520,Southwark,2017
748243,2018-03-21,T,L2,N1,U5,PR1,,X1,STAND,W22 5RI,T28 4BA,7522520,Southwark,2017
686067,2018-02-06,S,L2,N5,U4,PR4,,E14,,P23 2QU,I2 6MB,5049096,Southwark,2017
913259,2016-10-10,T,J3,N7,A6,PR1,2018-01-25,E41,,T18 4JZ,H13 3JG,9520424,Hillingdon,2017
933616,2016-06-24,P,J1,N4,U5,PR1,2017-06-20,X1,,X7 2HN,P8 8XP,2933955,Southwark,2017
933616,2017-06-20,L,E1,N4,U5,PR1,2017-10-24,E7,,X7 2HN,P8 8XP,2933955,Southwark,2017
600195,2016-06-18,T,L2,N2,U4,PR1,2017-05-12,X1,,M18 4WS,N20 8KH,5324694,Southwark,2017
600195,2017-05-12,L,J2,N2,U4,PR1,2017-09-03,X1,,M18 4WS,N20 8KH,5324694,Southwark,2017
600195,2017-09-03,L,C1,N2,U4,PR1,2017-09-10,X1,PLACE,M18 4WS,N20 8KH,5324694,Southwark,2017
600195,2017-09-10,P,C1,N2,U4,PR4,,E2,,I18 5EN,V22 6TL,3510825,Southwark,2017
306047,2017-03-26,P,C1,N1,U5,PR4,2017-07-23,E14,,E14 1KS,L11 8AU,2623911,Southwark,2017
391802,2016-08-07,L,J1,N1,A3,PR1,2017-05-23,X1,,W22 8BO,J17 5NS,5791968,Bromley,2017
391802,2017-05-23,T,J1,N1,A3,PR1,2018-03-05,E45,,W22 8BO,J17 5NS,5791968,Bromley,2017
227758,2016-07-22,S,V2,N3,U5,PR4,2017-06-02,X1,CREQO,S16 9NT,F2 6QT,6868562,Hillingdon,2017
227758,2017-06-02,P,V2,N3,U4,PR4,,X1,,B5 6RR,A27 3RH,2818108,Hillingdon,2017
276736,2016-11-12,P,V4,N7,U4,PR1,2017-08-03,X1,,P24 5PE,X8 9CX,4211494,Southwark,2017
276736,2017-08-03,L,J1,N7,U4,PR1,2017-08-22,E11,,P24 5PE,X8 9CX,4211494,Southwark,2017
276736,2017-04-20,S,J1,N6,U4,PR1,2017-05-30,X1,CHILD,T27 3FH,E20 3KN,3499937,Southwark,2017
276736,2017-05-30,P,J1,N6,K2,PR4,,X1,,P24 1QN,Z6 2NC,9615476,Southwark,2017
355263,2018-03-30,S,D1,N2,U1,PR1,,E7,,K17 8KM,L11 3FW,8563536,Southwark,2017
545261,2017-10-20,S,D1,N4,U1,PR1,2017-10-25,X1,ALLEG,I12 6QZ,W10 9NN,3711900,Bromley,2017
545261,2017-10-25,P,D1,N4,S1,PR4,2018-01-26,X1,,K7 1NJ,E24 4UR,1684037,Bromley,2017
545261,2018-01-26,L,J1,N4,S1,PR4,2018-03-14,X1,CLOSE,K7 1NJ,E24 4UR,1684037,Bromley,2017
545261,2018-03-14,P,J1,N4,U1,PR1,2018-03-19,X1,STAND,O6 7AW,H5 4LG,1144889,Bromley,2017
545261,2018-03-19,P,J1,N4,U5,PR1,,E9,,S28 4CO,V29 4VP,4614680,Bromley,2017
814528,2018-02-26,S,C1,N6,U5,PR1,,X1,CHILD,I23 8NE,I12 8CP,9787630,Hillingdon,2017
911317,2017-01-28,T,V2,N5,U4,PR4,2017-07-19,X1,,E11 7UP,J2 3EO,7537013,Southwark,2017
911317,2017-07-19,L,V3,N5,U4,PR4,2017-11-22,X1,,E11 7UP,J2 3EO,7537013,Southwark,2017
911317,2017-11-22,L,C2,N5,U4,PR4,,E46,,E11 7UP,J2 3EO,7537013,Southwark,2017
410686,2016-07-28,P,J2,N8,U5,PR4,2017-04-07,E46,,J30 5IP,L27 7HZ,1278078,Southwark,2017
853131,2017-01-24,L,L1,N7,U4,PR1,2018-02-02,E45,,K9 6QK,D1 4JP,7145473,Bromley,2017
830787,2017-01-23,S,L2,N5,U1,PR1,2017-10-21,X1,CLOSE,V29 9HK,R29 5NT,6601754,Southwark,2017
830787,2017-10-21,P,L2,N5,U5,PR4,,X1,,K1 9TQ,R26 1NT,5299368,Southwark,2017
243537,2016-12-18,S,J1,N5,K2,PR4,2017-05-19,X1,CHILD,U26 2YP,P5 9DZ,2426732,Southwark,2017
243537,2017-05-19,P,J1,N5,U5,PR1,,X1,CREQO,U21 8WH,S24 9FA,9185661,Southwark,2017
453076,2016-05-12,P,L2,N5,P2,PR4,2017-07-29,E41,,Z9 8EB,J19 7YN,1076365,Southwark,2017
461710,2017-11-17,S,V4,N3,U3,PR1,2018-03-22,X1,APPRR,J29 1NC,E9 9GK,6894387,Bromley,2017
461710,2018-03-22,P,V4,N3,U6,PR4,,E47,,F23 7ZG,C26 8XE,4186892,Bromley,2017
300407,2016-07-28,P,V4,N2,U4,PR1,2017-08-07,X1,CREQB,S9 4EG,Z6 1KV,3792004,Southwark,2017
300407,2017-08-07,P,V4,N2,U5,PR4,2017-12-12,E7,,O25 3FY,V29 9AX,4117848,Southwark,2017
769010,2016-06-25,L,J1,N6,P2,PR1,2017-04-19,X1,,R22 5ME,A20 8WJ,9626647,Bromley,2017
769010,2017-04-19,T,J1,N6,P2,PR1,2017-06-24,E7,,R22 5ME,A20 8WJ,9626647,Bromley,2017
439481,2015-05-06,P,D1,N8,U4,PR1,2017-12-02,X1,LAREQ,A28 3TO,J14 3SY,2103409,Bromley,2017
439481,2017-12-02,P,D1,N8,U5,PR4,2017-12-29,X1,,D23 8OX,S6 2SP,6926435,Bromley,2017
439481,2017-12-29,L,L1,N8,U5,PR4,,X1,OTHER,D23 8OX,S6 2SP,6926435,Bromley,2017
679389,2015-11-16,P,C2,N8,U5,PR4,2017-10-11,E2,,H24 9ZP,A12 1MP,3873531,Hillingdon,2017
259754,2017-04-27,S,J3,N1,U4,PR4,2017-09-17,X1,,B14 1UX,U22 3AW,7511653,Southwark,2017
259754,2017-09-17,L,V3,N1,U4,PR4,2017-12-29,X1,,B14 1UX,U22 3AW,7511653,Southwark,2017
259754,2017-12-29,L,J1,N1,U4,PR4,,E8,,B14 1UX,U22 3AW,7511653,Southwark,2017
451430,2017-08-16,S,C1,N1,U4,PR4,,X1,CLOSE,V13 9DQ,L3 6ZX,9689093,Bromley,2017
92498,2016-09-27,P,C2,N5,U4,PR1,2017-08-24,X1,CHILD,R7 9VM,V16 1IZ,2004367,Hillingdon,2017
92498,2017-08-24,P,C2,N5,K2,PR4,2017-09-29,E16,,D11 1GM,J11 6OW,9307322,Hillingdon,2017
536499,2018-03-14,S,L2,N4,K2,PR1,,E46,,B2 5NA,M19 6RP,5334856,Hillingdon,2017
248000,2017-02-28,S,V4,N6,U3,PR1,2017-05-10,X1,STAND,B29 1SO,A10 1VS,9398443,Bromley,2017
248000,2017-05-10,P,V4,N6,U1,PR1,2017-05-21,E17,,S27 5ZF,N30 1EP,1665357,Bromley,2017
376839,2017-03-18,L,C1,N4,P1,PR0,2017-09-12,X1,,I11 7XE,H7 6BB,6406703,Hillingdon,2017
376839,2017-09-12,T,C1,N4,P1,PR0,2017-11-18,E7,,I11 7XE,H7 6BB,6406703,Hillingdon,2017
585985,2017-02-24,P,C1,N4,U4,PR4,2018-01-24,X1,OTHER,K23 9YO,O22 1ZP,1446136,Southwark,2017
585985,2018-01-24,P,C1,N4,U2,PR1,,E6,,K24 1VU,L7 8JK,9259813,Southwark,2017
458146,2016-09-16,P,V2,N3,U4,PR4,2017-06-27,X1,APPRR,T3 5BW,X20 4MK,1979572,Southwark,2017
458146,2017-06-27,P,V2,N3,P2,PR4,,E14,,E28 5SE,H9 3BD,4830369,Southwark,2017
115810,2016-04-29,L,V2,N4,U4,PR4,2017-05-29,X1,OTHER,Q4 7CO,V16 1GA,3817735,Bromley,2017
115810,2017-05-29,P,V2,N4,U4,PR1,,E8,,K7 7AC,F14 6RF,3592298,Bromley,2017
336438,2016-11-28,P,E1,N3,U4,PR1,2017-12-13,X1,CREQO,F29 7JF,W5 2QG,8492173,Hillingdon,2017
336438,2017-12-13,P,E1,N3,K2,PR4,2018-03-04,X1,ALLEG,I28 9LB,H30 6QR,6478428,Hillingdon,2017
336438,2018-03-04,P,E1,N3,U4,PR4,,E9,,A25 6RN,M11 4UW,1374355,Hillingdon,2017
260471,2015-11-01,S,L1,N5,U4,PR4,2017-06-05,X1,APPRR,E21 1RL,J28 7RX,1312107,Bromley,2017
260471,2017-06-05,P,L1,N5,U4,PR1,2017-07-21,X1,,K16 7ZM,H12 4CK,8601708,Bromley,2017
260471,2017-07-21,U,L2,N5,U4,PR1,2018-01-04,X1,CLOSE,K16 7ZM,H12 4CK,8601708,Bromley,2017
260471,2018-01-04,P,L2,N5,U5,PR1,,X1,CUSTOD,O28 8QQ,M22 7ZK,5267427,Bromley,2017
631002,2016-07-12,P,J1,N2,U5,PR4,2017-04-12,X1,,L13 4WI,Z16 5WM,8843990,Bromley,2017
631002,2017-04-12,L,C1,N2,U5,PR4,2017-08-18,X1,,L13 4WI,Z16 5WM,8843990,Bromley,2017
631002,2017-08-18,L,C1,N2,U5,PR4,,X1,,L13 4WI,Z16 5WM,8843990,Bromley,2017
221025,2016-06-18,L,V2,N4,K2,PR4,2017-10-25,X1,CREQB,U24 9ZA,Z2 9OC,4816498,Southwark,2017
221025,2017-10-25,P,V2,N4,U1,PR1,2018-01-17,E6,,Z26 3VV,G8 7KL,8465963,Southwark,2017
725812,2016-06-08,L,C2,N4,U4,PR4,2018-03-09,E47,,H3 2WH,Z29 6XA,1195515,Bromley,2017
735996,2017-09-16,S,J2,N8,U5,PR1,2018-02-10,X1,,I11 3HO,R20 2QD,7045368,Southwark,2017
735996,2018-02-10,L,C1,N8,U5,PR1,2018-03-24,X1,,I11 3HO,R20 2QD,7045368,Southwark,2017
735996,2018-03-24,T,C1,N8,U5,PR1,,X1,CHILD,I11 3HO,R20 2QD,7045368,Southwark,2017
424048,2017-03-19,P,D1,N5,U5,PR4,2017-11-09,X1,CUSTOD,G15 3PO,I14 2KN,9817696,Hillingdon,2017
424048,2017-11-09,P,D1,N5,U4,PR4,2018-03-06,X1,PLACE,X2 7IU,S28 2XK,1677270,Hillingdon,2017
424048,2018-03-06,P,D1,N5,U4,PR1,,X1,PLACE,R12 2TU,A30 3ZS,1258965,Hillingdon,2017
955390,2016-02-15,L,D1,N3,U5,PR1,2017-04-30,X1,,L29 7QA,K1 2YZ,2194837,Bromley,2017
955390,2017-04-30,L,V4,N3,U5,PR1,2017-11-29,X1,APPRR,L29 7QA,K1 2YZ,2194837,Bromley,2017
955390,2017-11-29,P,V4,N3,U4,PR4,2018-02-10,X1,,P6 4EI,Y15 8SJ,7004868,Bromley,2017
955390,2018-02-10,L,L2,N3,U4,PR4,,E5,,P6 4EI,Y15 8SJ,7004868,Bromley,2017
535258,2017-03-07,S,V3,N5,U5,PR1,2017-12-09,X1,CREQO,Q16 7RW,S19 1UU,3247563,Hillingdon,2017
535258,2017-12-09,P,V3,N5,P1,PR0,,E48,,W6 6TS,L9 2FO,3453314,Hillingdon,2017
504825,2017-03-13,P,L1,N3,U4,PR1,2017-06-20,X1,,A9 6ZG,U17 3SL,7709113,Southwark,2017
504825,2017-06-20,T,L1,N3,U4,PR1,2017-07-28,X1,,A9 6ZG,U17 3SL,7709113,Southwark,2017
504825,2017-07-28,L,V4,N3,U4,PR1,2017-09-22,X1,,A9 6ZG,U17 3SL,7709113,Southwark,2017
504825,2017-09-22,L,V4,N3,U4,PR1,,X1,APPRR,A9 6ZG,U17 3SL,7709113,Southwark,2017
115869,2017-02-06,P,D1,N5,U1,PR1,2017-05-21,X1,ALLEG,F1 8KQ,M6 5EK,5272048,Hillingdon,2017
115869,2017-05-21,P,D1,N5,U1,PR1,2017-06-02,X1,CARPL,M17 2WO,D24 8RH,1811783,Hillingdon,2017
115869,2017-06-02,P,D1,N5,U5,PR1,,E3,,Y17 6MV,J23 9CF,5135518,Hillingdon,2017
370716,2017-01-20,T,L2,N2,U5,PR4,2017-08-13,X1,,I14 2CV,Z17 9WE,5317193,Southwark,2017
